iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.0,2.1933270173489285,1.171721570138063e-05,78058286.70717978,417.00383727263113,0.01045708067787829,826.8561947478463,0.042095101276514876,5.357163993001643e-06,6.360051708378988e-06,1.7714949582119428,0.022257010726927547,1.7293998569354274,392.7226102140954,0.00015860856361125947,0.07,0.0,0.0,0.0,0.028000000000000004,4811.1465889641995,0.00013099200861146974,23.875986791383323,0.02792294050526415,0.07029832582356407,5.318355305520729,189274877.82955825,0.000900482753231307,0.4124070114443353,0.0003713654011172902
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,0.0,81.63002010601956,7.766998541815164e-05,226742808.91826937,215.7430641261602,0.007721463296744931,3718.096176966984,2.3773730453093957,3.7826158861375186e-05,3.984382655677644e-05,65.52799610127578,0.04764400114763811,63.150623055966356,1973.062413651281,0.002507943562022255,0.08,0.0,0.0,0.0,0.047999999999999994,22948.07052749936,0.002953809691557091,170.78075592884736,0.046726135596171246,0.11231394826570702,149.7674000151664,416007259.5807275,0.009667360469669508,0.5450453175908321,0.0052691495574560725
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.0,43.95521194926394,1.774718915512498e-05,2032261752.0881867,820.5382735650471,0.006686560237280634,2695.372913114399,1.4676672084142957,1.4437001024267657e-05,3.3101881308573244e-06,38.35541485008796,0.026959603612483018,36.88774764167367,707.9588674302239,0.0011675583035037577,0.060000000000000005,0.0,0.0,0.0,0.023999999999999997,8767.856468674485,0.004990633661677097,120.17627621006568,0.023435890113202934,0.051948312323891535,59.742858534625256,2762200908.062448,0.00265979634553475,0.7357400202701844,0.001956918617178299
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.0,43.15586391136946,3.2058414490423006e-05,119993541.77378152,89.13742767977195,0.003918496967245487,2247.980904017996,2.991580590643938,1.7924890932482377e-05,1.4133523557940622e-05,32.68821656512983,0.06361527254892675,29.696635974485893,465.72591980740697,0.004098444701877082,0.07,0.0,0.0,0.0,0.028000000000000004,4786.216252687682,0.016038532828168372,85.27297369031456,0.026096229226019996,0.0658523054666046,65.22872846989074,181366457.41994864,0.00406232186824288,0.6616082349557066,0.002687665601070141
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,0.0,34.47401566139891,3.912049415583698e-06,896515393.2431359,101.73495755893849,0.04343258742410412,16042.342684935913,1.464155861340966,3.169918624121014e-06,7.421307914626844e-07,31.5397513972651,0.1445709431065188,30.075595535924126,3085.957203874909,0.00047978093299930256,0.0628,0.0,0.0,0.0,0.0628,69447.9628874945,0.0022210420855841998,830.5544033168696,0.06257971984648215,0.1380703023950166,45.176392053178816,1174836470.5946238,0.0008842466080729292,0.7630980274125977,0.0006747668423667327
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,0.0,91.36157047809117,8.787291645575244e-06,826077707.3888992,79.45338175283618,0.03367067806663484,5642.585564527916,3.2431834658120384,7.0611994554730845e-06,1.7260921901021606e-06,82.92750712703089,0.046208993775580895,79.68432366121883,1225.0099042124511,0.0009626854249826281,0.050499999999999996,0.0,0.0,0.0,0.0202,31026.176719978885,0.0034599092202717537,299.3025457076769,0.019784634936093424,0.041367396927768335,116.03532157464781,1049174088.4150509,0.0020769853367779527,0.7873599972687322,0.0016353351690926855
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,0.0,27.467305645550308,2.2051734589600967e-05,278566711.83459365,223.64331158449315,0.0030511271419055956,2113.199774068488,2.3428353872358683,1.4671098336868993e-05,7.380636252731975e-06,25.196995089745094,0.0031288083255858272,22.854159702509218,168.73450207529723,0.0037887421456728985,0.07,0.0,0.0,0.0,0.028,3448.8716452215394,0.021229970591131995,84.3793059793978,0.0263107899482926,0.05224426547438647,40.89418304733659,414738826.2854241,0.002709249592434213,0.6716677923057136,0.0018197156925554424
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,0.0,50.704849011637066,5.669749374971452e-06,592527434.4480746,66.25563662253263,0.02960536867715259,5541.863975895905,2.106928312537667,3.944319918063909e-06,1.7254294569075428e-06,44.5542036078386,0.0486632070144372,42.44727529530091,1649.4588792298766,0.0005214592240692348,0.052000000000000005,0.0,0.0,0.0,0.020800000000000003,32580.991420381302,0.0013523354251632669,312.28052089480866,0.020534309619653284,0.04372054886037532,69.74252161451469,814998135.4781983,0.0013088055353680822,0.7270291901961352,0.0009515398285028761
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.0,2.4756657031100793,2.0070586154664102e-05,33057227.443093266,267.9998073235127,0.005135052473987795,687.0343233151799,0.09171449665208464,1.236376489379317e-05,7.706821260870928e-06,2.091490857469364,0.016997107024265278,1.9997763608172792,150.32726314538755,0.0006078423810498845,0.10000000000000003,0.0,0.0,0.0,0.04,1503.129008319926,0.0018313855778081933,27.862080232459718,0.03971067069015405,0.1153802799300318,4.040942903837084,53958161.02670166,0.0011763438205934535,0.6126455537788735,0.0007206818114018322
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.0,0.4001884333440834,7.927355868179289e-06,9073777.292796612,179.7429802444006,0.007521228644658323,431.77170315087994,0.017206314111740454,3.7826890461430263e-06,4.144666822036263e-06,0.30310441544393185,0.018984052718386213,0.2858981013321914,131.3733743620726,0.0001651578348703912,0.09999999999999999,0.0,0.0,0.0,0.04000000000000001,840.5556059348991,0.0003160808165181781,17.45410832285797,0.039920399457510254,0.11960548385957757,0.7951784947348389,18029687.93713599,0.00036833284299641505,0.5032686824327797,0.0001853703845915257
