iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dc,dc_npv_post,dc_npv_pre,diversified_share,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,macro_multiplier_Gamma,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.3,0.3074152642375409,0.2087420721134342,0.009588466405,0.06,0.05,0.8,1.5,0.267643629203909,38.62968583836491,5.791529145913255e-07,1786036957.690209,26.777036550134458,0.006686560237280634,2695.372913114399,38.62968583836491,61.34753471438563,61.34753471438563,0.02695960361248302,0.001420119581344338,0.060000000000000005,0.26764362920390905,1.8321573137424254,0.26764362920390905,0.023999999999999997,8767.856468674487,0.20992405175159787,0.02332200884002817,0.052794758092561705,132.63528351609614,6132369785.368507,0.0059050211362185676,0.29124743291762895,0.0017198222472479983
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.4416666666666666,0.469678089191154,0.3695482842639164,0.005235208329,0.06,0.05,0.8,1.5,0.42438532573776955,54.834056158727215,1.4072331232389033e-06,152464393.29360008,3.91276807493895,0.003918496967245487,2247.980904017996,54.834056158727215,117.36170259988091,117.36170259988091,0.06361527254892677,0.005251532662295246,0.07,0.42438532573776955,2.569108117971985,0.4243853257377696,0.028000000000000004,4786.216252687683,0.3029027201641341,0.02567467845625873,0.06585055081286798,194.8236879631769,541701224.8472865,0.012133250894655471,0.2814547693455595,0.0034149613319670595
AUS,51090.26332782138,26005540.0,0.86488,0.6790700317264603,0.9166666666666669,0.2309980310138752,0.3363063808739728,0.004970939722,0.06,0.05,0.8,1.5,2.041446972221999,40.96386654876083,1.2123261729085587e-07,1065287470.0884618,3.1527196782620432,0.04343258742410413,16042.342684935917,40.96386654876083,57.448026810617336,57.448026810617336,0.11436142068624162,0.0006042898289916618,0.06280000000000001,2.0414469722219994,3.2795337101592192,2.0414469722219994,0.0628,69447.9628874945,0.45936227507790306,0.06252346341963544,0.12801967510182846,95.28502095222485,2477938423.7739215,0.0018650328799604573,0.4299087741115132,0.0008017939991014652
AUT,55867.18380720708,9041851.0,0.59256,0.6743220859874698,0.8916666666666666,0.1818653202247265,0.4206386267405563,0.006835775451,0.06,0.05,0.8,1.5,4.899445243974384,111.8013244200967,2.508240340673756e-07,1010890917.0091759,2.267913543256134,0.033670678066634846,5642.585564527916,111.8013244200967,148.7293711001595,148.7293711001595,0.047977267433656365,0.0012218435485973243,0.0505,4.899445243974384,8.148487289226102,4.899445243974384,0.020200000000000003,31026.17671997888,0.13745030884483153,0.01968397787626307,0.04136739692776834,225.47126274678587,2038677562.5382886,0.004035844432840361,0.49585620383762385,0.0020011984997474297
BDI,708.178313385561,12889576.0,0.14417,0.6666666666666667,0.5,0.5273924728010927,0.0975931194048774,0.651328928523,0.06,0.05,0.8,1.5,0.0293127481978271,1.7658616295659102,5.896331941012243e-06,22761207.679773644,76.00121867490482,0.0040032017786920246,141.6356626771122,1.7658616295659102,4.999241856417728,4.999241856417729,0.0173776075500784,0.002019943330127492,0.1,0.0293127481978271,0.08793824459348129,0.0293127481978271,0.04000000000000001,268.5583696802787,0.5868961910691155,0.039153458810724955,0.12955811573075826,7.560815549562374,97455706.64806598,0.010676429095119663,0.23355438550119365,0.0024935268366577377
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.200821865179,0.06,0.05,0.8,1.5,0.03232720666572799,2.6707622945510083,8.047215387685733e-07,35662325.695467554,10.745337265047487,0.0051350524739877945,687.0343233151799,2.6707622945510083,6.424481486977319,6.424481486977319,0.016997107024265278,0.0006085841262468126,0.10000000000000002,0.03232720666572799,0.12826190644390234,0.03232720666572799,0.04,1503.129008319926,0.5272343192398603,0.03971032322455117,0.12569612835079388,11.024011017901625,147202119.85654196,0.003209158740339764,0.2422677453981153,0.0007774756526467703
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.4666666666666667,0.5136741699207948,0.118263411751462,0.312038230194,0.06,0.05,0.8,1.5,0.005228827889627161,0.42523642854220295,2.5752488564378266e-07,9641709.574495917,5.8390579661643445,0.007521228644658323,431.77170315087994,0.42523642854220295,1.044779686164249,1.044779686164249,0.018984052718386213,0.00016938600820751043,0.09999999999999999,0.005228827889627161,0.019119269750976668,0.005228827889627161,0.04000000000000001,840.5556059348991,0.5577718796477863,0.039918365347455964,0.125494943027599,1.757628859188266,39852058.43756626,0.000814147312740443,0.24193755485933016,0.00019697281013971715
BGD,6263.00463511584,171186372.0,0.3971099999999999,0.7430143350200373,0.6083333333333334,0.2770114487863902,0.0444874497808178,0.095763822443,0.06,0.05,0.8,1.5,0.8404695262074232,21.331585370977447,1.9609211315835107e-06,3651676708.6659026,335.6829742939158,0.004927345273993603,2567.831900397495,21.331585370977447,37.0304034828868,37.030403482886804,0.018548959440911204,0.0024021255158629836,0.082,0.8404695262074232,1.8594442618305262,0.8404695262074232,0.08200000000000002,9269.768132860125,0.7429290377972075,0.0810071556730214,0.18332589879767847,66.131523719503,11320815620.373663,0.010559073092284217,0.3225630406076142,0.0034059667226452404
BGR,26961.2912585423,6465097.0,0.76363,0.4856640200425024,0.7250000000000001,0.3470229186386416,0.2779317433954221,0.002478634814,0.06,0.05,0.8,1.5,1.5487901313506827,58.00363855888953,6.199230122390913e-07,374999149.636161,4.007862406657913,0.013862251110939972,3235.354951025076,58.003638558889534,83.22042419082847,83.22042419082847,0.04084373424832191,0.0034141104948716273,0.060000000000000005,1.5487901313506827,4.398642192913363,1.5487901313506827,0.024000000000000004,9323.173707711456,0.18429285582592286,0.022530570813866706,0.040571392061508546,186.74816367346935,1207344992.7208557,0.006926528921877986,0.310598173593339,0.002151367232476742
BLR,19092.111174022295,9228071.0,0.80326,0.7333333333333333,0.5166666666666667,0.3634728967331161,0.4667404971254493,0.0,0.06,0.05,0.8,1.5,1.934806598473012,51.58922440091252,6.302430945730103e-07,476069025.6065532,5.815928023979454,0.015525107986902532,2672.8955643631216,51.58922440091253,79.46020471072117,79.46020471072117,0.07073445521292801,0.003063115708468107,0.07000000000000002,1.934806598473012,5.106527679254284,1.934806598473012,0.028,7353.768570881158,0.22640833710843833,0.026708574162300068,0.054980228846462614,113.12724455447739,1043946244.7830807,0.005925339713525454,0.45602829454640603,0.0027021225641671027
