iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.4057276750496122,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.030726726906609898,2.2354105248345824,1.0746354334146404e-05,79555996.10800111,382.4518646953301,0.01045708067787829,826.8561947478463,0.06417516769978927,5.486122773208775e-06,5.260231560937629e-06,1.8267571316577254,0.022257010726927547,1.7625819639579356,396.9162539258856,0.00015860856361125947,0.07,0.030726726906609898,0.12253022168216435,0.030726726906609898,0.028000000000000004,4811.1465889641995,0.0001601450987304323,23.875986791383323,0.02792294050526415,0.07097332819486356,4.877688697092,173591999.63085413,0.0008258708369490134,0.4582929874486042,0.0003784908131120424
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.1685573765219951,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1.92501047908538,82.06755283017985,7.372085782152154e-05,227958138.75330946,204.77361584140436,0.007721463296744931,3718.096176966984,3.545899882983493,3.8487688686417944e-05,3.5233169135103593e-05,67.03500704200671,0.04764400114763811,63.48910715902319,1977.0880262761202,0.002507943562022255,0.08,1.9250104790853797,11.686880440494065,1.9250104790853797,0.047999999999999994,22948.07052749936,0.003614120576629201,170.78075592884736,0.046726135596171246,0.11253472345459241,142.15248198355818,394855385.5284277,0.009175823876585243,0.5773205763630076,0.0052973919290356395
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.4908054208335251,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.17625751914568494,44.62782306907225,1.7900219622103017e-05,2063359812.8686337,827.6136111905971,0.006686560237280634,2695.372913114399,1.6039983968913945,1.4671676664799587e-05,3.2285429573034296e-06,39.05620945821849,0.026959603612483018,37.45221106132709,712.2371839452111,0.0011675583035037577,0.060000000000000005,0.17625751914568494,1.2065727242057056,0.17625751914568494,0.023999999999999997,8767.856468674485,0.005014835865660295,120.17627621006568,0.023435890113202934,0.052286463575316966,60.25800926977795,2786018814.726608,0.002682731238112154,0.7406123038229055,0.001986863762795918
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.2412305207006099,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.727836216710691,43.38626297724261,3.149857864106527e-05,120634159.2340708,87.58082145554411,0.003918496967245487,2247.980904017996,3.4692256583524292,1.8138810725985367e-05,1.3359767915079905e-05,33.32440502805684,0.06361527254892675,29.85517936970441,468.2929724096822,0.004098444701877082,0.07,0.7278362167106911,4.406113547057162,0.727836216710691,0.028000000000000004,4786.216252687682,0.016470461052308816,85.27297369031456,0.026096229226019996,0.06616373442875904,64.08963967882231,178199256.34813538,0.003991381572235675,0.676962192246169,0.0027020144192316234
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.7245204982412629,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.2814965391246482,35.23078992281728,3.767727626786866e-06,916195716.5694219,97.98179150751092,0.04343258742410412,16042.342684935913,2.498409890094989,3.3178879901346214e-06,4.498396366522446e-07,33.234225483408665,0.1445709431065188,30.735815593313664,3143.092323739519,0.00047978093299930256,0.0628,1.2814965391246482,2.058692269110103,1.2814965391246482,0.0628,69447.9628874945,0.002511119601814696,830.5544033168696,0.06257971984648215,0.1405741613956884,43.50976236119959,1131494865.4746704,0.0008516253298993313,0.8097214972204675,0.0006895793371969612
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.668119031535877,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,3.4538912477181993,91.43148296721765,8.247326232925977e-06,826709845.69862,74.57109494650798,0.03367067806663484,5642.585564527916,6.002460279992309,7.247516676007873e-06,9.99809556918105e-07,85.74776066679024,0.046208993775580895,79.74530038679791,1225.56971830613,0.0009626854249826281,0.050499999999999996,3.4538912477181998,5.744321556611763,3.4538912477181993,0.0202,31026.176719978885,0.004995226732110405,299.3025457076769,0.019784634936093424,0.041384916993913674,108.9051314292582,984703971.5187697,0.0019493578163001838,0.8395516516740907,0.001636586574378618
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.3551093624015175,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,1.2259760146555179,27.650288674278826,2.0575059122506084e-05,280422481.0640993,208.6672293060308,0.0030511271419055956,2113.199774068488,3.0745414639267,1.5133708737402532e-05,5.441350385103551e-06,26.08095211581464,0.0031288083255858272,23.006410651887936,170.164986896883,0.0037887421456728985,0.07,1.2259760146555179,4.6652115937181415,1.225976014655518,0.028,3448.8716452215394,0.02229896971881396,84.3793059793978,0.0263107899482926,0.05264335408738084,38.155739202589494,386966196.99229723,0.0025278270203853447,0.7246691913756004,0.001831838362800041
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.5376450221056002,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,1.5319576694977561,50.77124349991817,5.42095930134595e-06,593303308.0887527,63.34832209709872,0.02960536867715259,5541.863975895905,3.0223714410857996,4.0057744721556385e-06,1.4151848291903113e-06,45.525228503754036,0.0486632070144372,42.502857062668205,1652.1506716997055,0.0005214592240692348,0.052000000000000005,1.5319576694977561,5.083933372505668,1.5319576694977561,0.020800000000000003,32580.991420381302,0.0016768590830390606,312.28052089480866,0.020534309619653284,0.043783275527088224,66.68220167093858,779235805.8370775,0.0012513748088983907,0.7613912292587856,0.0009527858040106235
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.2820502792194307,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.041585026673639586,2.5242883468550184,1.9166540467898286e-05,33706478.99233988,255.92820821834212,0.005135052473987795,687.0343233151799,0.12430838414226776,1.274552598077624e-05,6.421014487122044e-06,2.1633608125802346,0.016997107024265278,2.0390524284379667,152.0995536771109,0.0006078423810498845,0.10000000000000003,0.041585026673639586,0.16499337093471178,0.041585026673639586,0.04,1503.129008319926,0.0023430439689404127,27.862080232459718,0.03971067069015405,0.1166819695828906,3.858925449312872,51527706.71081367,0.0011233573981259664,0.6541428125553704,0.0007348361679150026
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.4008162549684497,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.009619274013050374,0.4107948042811585,7.394499067449376e-06,9314263.623107571,167.6611119645691,0.007521228644658323,431.77170315087994,0.024569072847719527,3.946581379046621e-06,3.447917688402755e-06,0.3180444579299575,0.018984052718386213,0.29347538508223797,133.30114891329828,0.0001651578348703912,0.09999999999999999,0.009619274013050376,0.03517298686172357,0.009619274013050376,0.04000000000000001,840.5556059348991,0.0004141767655515245,17.45410832285797,0.039920399457510254,0.12131085623912055,0.7417286085736224,16817777.939389475,0.0003435744413822459,0.553834380301355,0.00019028333783032038
BGD,6263.00463511584,171186372.0,0.3971099999999999,0.7430143350200373,0.6013045001703854,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.0444874497808178,0.2102081880793796,0.095763822443,0.06,0.05,0.8,1.5,0.871389175338334,19.561160241433946,5.618257847732244e-05,3348604053.841721,9617.691779138113,0.0049273452739936035,2567.831900397495,1.3556391938048855,3.8037066862214016e-05,1.814551161510842e-05,16.8048833841566,0.018548959440911204,15.449244190351715,836.8790153159259,0.0020181418622417973,0.082,0.871389175338334,1.9278505066276708,0.871389175338334,0.08200000000000002,9269.768132860125,0.00644710622044653,118.18601621946652,0.0811549057250676,0.20041860313165813,27.846830207192234,4766997834.8692465,0.004446241353720024,0.7024555432661675,0.0031232868856198998
BGR,26961.2912585423,6465097.0,0.76363,0.4856640200425024,0.4220057478821898,0.8333333333333334,0.7250000000000001,0.3470229186386416,0.2779317433954221,0.0801391761858496,0.002478634814,0.06,0.05,0.8,1.5,0.5620571018819869,40.91021176169496,1.195898320943996e-05,264488487.32989883,77.31598647040067,0.013862251110939972,3235.354951025076,3.3533450537187486,1.156140103882107e-05,3.9758217061889063e-07,40.98504614724283,0.04084373424832191,37.63170109352407,164.2737839406315,0.002354821391175792,0.060000000000000005,0.5620571018819869,1.5962705553971068,0.5620571018819869,0.024000000000000004,9323.173707711456,0.014128928347054752,144.78604284579438,0.022926974580440684,0.04080196370485216,52.94260275588943,342279062.2492925,0.0019636523432131734,0.7727276263754153,0.0015173684141976376
BIH,16737.226012295796,3233526.0,0.49841,0.202715421325147,0.2761797864228071,0.7407407407407408,0.5203703703703704,0.3638449267006413,0.1932890358513667,0.1380499995836406,0.000749787577,0.06,0.05,0.8,1.5,0.4008770993990818,57.66396143004371,3.543789316629363e-05,186457918.5470435,114.58934893843278,0.013040403769350853,2343.211641721412,2.8352987129687666,2.7833589307850195e-05,7.604303858443437e-06,52.538750291603876,0.029581618426128588,49.7034515786351,314.1643392210698,0.003228716531409958,0.07,0.4008770993990817,3.8002476480565033,0.4008770993990818,0.028,6440.13828355321,0.017426143364139737,106.5338606800915,0.026304897667233887,0.061423346062552855,76.73493252973266,248124399.44313633,0.004584686403431506,0.7514695006436674,0.0034452520021944853
BLR,19092.111174022295,9228071.0,0.80326,0.4236035393738244,0.3551093624015175,0.8333333333333334,0.5166666666666667,0.3634728967331161,0.4667404971254493,0.0369119498691073,0.0,0.06,0.05,0.8,1.5,0.21580151953685603,49.41202982891239,2.085887743637571e-05,455977719.5153214,192.48720196317305,0.015525107986902532,2672.8955643631216,1.8705092911482717,2.0070399687500618e-05,7.884777488750923e-07,49.458644752085014,0.07073445521292801,47.58813546093675,88.71779788265452,0.0026588510948039527,0.07,0.21580151953685603,0.9860171636226995,0.21580151953685606,0.028,7353.768570881158,0.015953106568823715,78.36249894002616,0.02671244333979106,0.05665382632449434,55.02649671916571,507788418.60572827,0.0028821588255801478,0.8979679386295037,0.002588086219409037
