iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.0302176588720711,2.1933270173489285,1.1411689089762354e-05,78058286.70717978,406.13045466359426,0.01045708067787829,826.8561947478463,0.023587349630347348,5.185259232823745e-06,6.226429856938609e-06,1.7529872065657752,0.022257010726927547,1.7293998569354274,392.7226102140954,0.00015860856361125947,0.07,0.0302176588720711,0.12050019032500328,0.030217658872071104,0.028000000000000004,4811.1465889641995,0.00013040382270642744,0.0,0.02792294050526415,0.07029832582356407,5.179679094611139,184339531.96228758,0.0008770026491325968,0.4234484371108692,0.0003713654011172901
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1.917207750935815,81.63002010601956,7.95318720859056e-05,226742808.91826937,220.91480624242703,0.007721463296744931,3718.096176966984,1.2487746897010317,3.6573202490754894e-05,4.29586695951507e-05,64.39939774566741,0.04764400114763811,63.150623055966356,1973.062413651281,0.002507943562022255,0.08,1.917207750935815,11.639509503044952,1.917207750935815,0.047999999999999994,22948.07052749936,0.002687468862158121,0.0,0.046726135596171246,0.11231394826570702,153.35758899036924,425979688.00506973,0.009899104166722433,0.5322854945975048,0.005269149557456072
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.17335660272559927,43.95521194926394,1.9316400156887592e-05,2032261752.0881867,893.090477465671,0.006686560237280634,2695.372913114399,0.12903681227353742,1.349889524680446e-05,5.817504910083132e-06,37.01678445394721,0.026959603612483018,36.88774764167367,707.9588674302239,0.0011675583035037577,0.060000000000000005,0.17335660272559927,1.186714469961342,0.17335660272559927,0.023999999999999997,8767.856468674485,0.002482316211831659,0.0,0.023435890113202934,0.051948312323891535,65.02533735816384,3006435418.4473543,0.002894976218323553,0.6759705329501904,0.0019569186171782987
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.7248234848383658,43.15586391136946,3.470488850299969e-05,119993541.77378152,96.49586663104704,0.003918496967245487,2247.980904017996,0.5016172792073331,1.5980013892874274e-05,1.872487461012541e-05,30.198253253693224,0.06361527254892675,29.696635974485893,465.72591980740697,0.004098444701877082,0.07,0.7248234848383658,4.387875324759989,0.7248234848383658,0.028000000000000004,4786.216252687682,0.010518824006756161,0.0,0.026096229226019996,0.0658523054666046,70.61346559781565,196338552.0772929,0.004397673114582227,0.6111562935767373,0.00268766560107014
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.2588635858402188,34.47401566139891,3.890895405566481e-06,896515393.2431359,101.18483610527534,0.04343258742410412,16042.342684935913,1.056862088972858,3.0440838127141334e-06,8.468115928523473e-07,31.13245762489699,0.1445709431065188,30.075595535924126,3085.957203874909,0.00047978093299930256,0.0628,1.2588635858402188,2.022332993426368,1.2588635858402188,0.0628,69447.9628874945,0.0020733433566342066,0.0,0.06257971984648215,0.1380703023950166,44.93210529999319,1168483661.663185,0.0008794651343189547,0.7672468367825208,0.0006747668423667327
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,3.451718721032185,91.36157047809117,8.652264036222337e-06,826077707.3888992,78.23248222818097,0.03367067806663484,5642.585564527916,2.8898731269965303,6.865392798660119e-06,1.7868712375622176e-06,82.5741967882154,0.046208993775580895,79.68432366121883,1225.0099042124511,0.0009626854249826281,0.050499999999999996,3.4517187210321856,5.740708329969774,3.451718721032185,0.0202,31026.176719978885,0.003605889791606383,0.0,0.019784634936093424,0.041367396927768335,114.25229527887102,1033052230.3195552,0.002045069887058313,0.7996475716754105,0.001635335169092686
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,1.2208322667235698,27.467305645550308,2.5747821665470915e-05,278566711.83459365,261.12812486271963,0.0030511271419055956,2113.199774068488,0.8690993894887391,1.3664020011735582e-05,1.2083801653735333e-05,23.72325909199796,0.0031288083255858272,22.854159702509218,168.73450207529723,0.0037887421456728985,0.07,1.2208322667235698,4.645638068461181,1.22083226672357,0.028,3448.8716452215394,0.018886718414107394,0.0,0.0263107899482926,0.05224426547438647,47.748449355747475,484253122.7443481,0.0031633464056900827,0.5752502126489281,0.0018197156925554424
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,1.5305133984743924,50.704849011637066,5.785298836640905e-06,592527434.4480746,67.605926139402,0.02960536867715259,5541.863975895905,1.0393088416534684,3.7801280907960653e-06,2.0051707458448404e-06,43.486584136954406,0.0486632070144372,42.44727529530091,1649.4588792298766,0.0005214592240692348,0.052000000000000005,1.5305133984743924,5.079140434815014,1.5305133984743924,0.020800000000000003,32580.991420381302,0.001166705169386376,0.0,0.020534309619653284,0.04372054886037532,71.16387382870633,831607793.08173,0.001335478985116916,0.7125082753882289,0.0009515398285028761
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.04080358927240047,2.4756657031100793,2.2794936154386943e-05,33057227.443093266,304.3776823582118,0.005135052473987795,687.0343233151799,0.03274281666240883,1.1718004990182743e-05,1.1076931164204198e-05,2.032519177479688,0.016997107024265278,1.9997763608172792,150.32726314538755,0.0006078423810498845,0.10000000000000003,0.04080358927240047,0.16189292826776908,0.04080358927240047,0.04,1503.129008319926,0.001218737569305538,0.0,0.03971067069015405,0.1153802799300318,4.589454178700388,61282357.48241797,0.0013360188924927863,0.5394248655100687,0.0007206818114018323
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.009375239739883997,0.4001884333440834,8.88520829158282e-06,9073777.292796612,201.46109812377549,0.007521228644658323,431.77170315087994,0.007434747087416371,3.5235555414506677e-06,5.361652750132152e-06,0.29333284841960783,0.018984052718386213,0.2858981013321914,131.3733743620726,0.0001651578348703912,0.09999999999999999,0.009375239739883997,0.0342806727149131,0.009375239739883997,0.04000000000000001,840.5556059348991,0.00024173048739886297,0.0,0.039920399457510254,0.11960548385957757,0.8912589105614431,20208192.418449447,0.0004128380364240767,0.4490147908782052,0.00018537038459152567
