iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.028706775928467626,2.1577211688467717,9.841651272277101e-06,76791110.62771256,350.2543991876032,0.01045708067787829,826.8561947478463,0.060940069507161715,5.278222054017481e-06,4.563429218259618e-06,1.762265339835745,0.022257010726927547,1.701325270328583,392.7226102140955,0.00015067813543069689,0.07,0.028706775928467626,0.11447518080875344,0.028706775928467626,0.028000000000000004,4811.1465889642,0.00015702992875392494,23.875986791383323,0.027926781260286436,0.07029832582356407,4.467050841509422,158977814.32681787,0.0007563432695839378,0.48303035837346214,0.00036533676056048554
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1.8213473633890234,78.41653121287465,6.785496580173182e-05,217816736.16815856,188.47999210284667,0.0077214632967449294,3718.096176966984,3.3686780197209254,3.668036442148667e-05,3.117460138024515e-05,64.03328152648272,0.0476440011476381,60.664603506761765,1973.062413651281,0.0023825463839211415,0.08,1.8213473633890234,11.0575340278927,1.8213473633890234,0.047999999999999994,22948.07052749936,0.003538045906166495,170.78075592884736,0.04678645021092884,0.11231394826570702,130.84155676780156,363437152.97679794,0.00844571310952165,0.5993243519108905,0.005061721535789375
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.1646887725893192,43.49392304333352,1.7199664174606815e-05,2010934137.9416077,795.2235491700362,0.006686560237280634,2695.372913114399,1.5329559311925038,1.4205583058979096e-05,2.9940811156277167e-06,38.03358432130833,0.02695960361248302,36.500628390115835,707.9588674302239,0.0011091803883285691,0.060000000000000005,0.1646887725893192,1.1273787464632739,0.1646887725893192,0.023999999999999997,8767.856468674485,0.004730582421020527,120.1762762100657,0.0234631736947827,0.051948312323891535,57.89970990024988,2676983244.28737,0.0025777380021237513,0.7511941444657534,0.0019363816931622117
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.6885823105964475,42.27652971374959,3.0447886840373566e-05,117548580.2966596,84.65940547516666,0.003918496967245487,2247.980904017996,3.3251298713124013,1.7552380203198295e-05,1.2895506637175271e-05,32.41667385597592,0.06361527254892677,29.091543984663527,465.72591980740697,0.0038935224667832275,0.07,0.6885823105964475,4.168481558521989,0.6885823105964475,0.028000000000000004,4786.216252687683,0.015288398642489858,85.27297369031457,0.0261808067784282,0.06585230546660462,61.95181436018924,172255099.322261,0.0038582418538004896,0.6824098720975773,0.0026329023299735115
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.195920406548205,33.48334831239792,3.5479563464779074e-06,870752553.8719965,92.26652068658508,0.04343258742410413,16042.342684935915,2.3607199141846706,3.139159908277178e-06,4.087964382007288e-07,31.572043913196964,0.14457094310651883,29.211323999012286,3085.957203874909,0.0004557918863493363,0.0628,1.195920406548205,1.9212163437550451,1.195920406548205,0.0628,69447.9628874945,0.002403915678210646,830.5544033168695,0.0625906387188229,0.13807030239501664,40.97184106559521,1065494851.7049788,0.0008019500859233945,0.8172283070900247,0.0006553763110898756
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,3.2791327849805723,88.5544012406211,7.934870335619924e-06,800695701.4119112,71.74591527899534,0.033670678066634846,5642.585564527916,5.711367301616621,6.984502276367408e-06,9.503680592525151e-07,82.94731599598855,0.046208993775580895,77.23594869437188,1225.009904212451,0.0009145511537334959,0.0505,3.2791327849805723,5.45367291347128,3.2791327849805723,0.020199999999999996,31026.176719978885,0.004730766543813157,299.3025457076769,0.019804116196907258,0.041367396927768335,104.77918204870483,947397751.9862638,0.0018755049907346125,0.845152629646012,0.0015850879748335771
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,1.1705474109095668,26.04315654241419,1.899407532838861e-05,264123339.12296838,192.6332774261371,0.0030511271419055956,2113.199774068488,2.9603694448168683,1.4236181792488783e-05,4.757893535899825e-06,24.629566506167627,0.0031288083255858272,21.669197061350758,168.73450207529723,0.003635625115869391,0.07,1.1705474109095668,4.454288898879059,1.1705474109095668,0.028,3448.8716452215394,0.021443727830747494,84.37930597939781,0.026366720711156894,0.05224426547438647,35.22385915438678,357231784.92215705,0.002333589252718861,0.7393612502328774,0.0017253654674202232
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,1.4539877285506737,48.75560022422767,5.155166021698233e-06,569748875.6786828,60.242311268685505,0.02960536867715259,5541.863975895904,2.879557794214092,3.833785545655678e-06,1.3213804760425544e-06,43.69503057928155,0.0486632070144372,40.81547278506744,1649.4588792298766,0.0004953862628657734,0.052000000000000005,1.4539877285506737,4.825183413074267,1.453987728550674,0.0208,32580.991420381302,0.00160938017195169,312.28052089480866,0.020547186010703117,0.04372054886037532,63.41272848528882,741029350.3115869,0.0011900190605822103,0.7688614161356979,0.0009149597401477112
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.03876340980878044,2.4230283651738076,1.7925607485738015e-05,32354368.22830819,239.35819887444165,0.0051350524739877945,687.0343233151799,0.11828714822977802,1.21785404837955e-05,5.747067001942517e-06,2.0755444791275215,0.016997107024265278,1.9572573308977432,150.32726314538755,0.0005774502619973901,0.10000000000000002,0.03876340980878044,0.15379828185438058,0.03876340980878044,0.04000000000000001,1503.129008319926,0.002230946178316568,27.862080232459718,0.03972507168676416,0.1153802799300318,3.6090802634395818,48191557.922792904,0.0010506258977061038,0.6713700412039536,0.0007053587522328876
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.008906477752889816,0.3926863067062336,6.792830170052816e-06,8903675.858916145,154.0190145821971,0.007521228644658323,431.77170315087994,0.023130015717801027,3.7447087180884395e-06,3.048121451964377e-06,0.3036685324568246,0.018984052718386213,0.28053851673902364,131.3733743620726,0.00015689994312687199,0.1,0.008906477752889816,0.03256663907916751,0.008906477752889816,0.04000000000000001,840.5556059348991,0.00040078232348506336,17.45410832285797,0.0399243743931935,0.11960548385957759,0.6813763074890932,15449364.228446515,0.0003156187876679776,0.5763134150544549,0.00018189534137627903
BGD,6263.00463511584,171186372.0,0.3971099999999999,0.7430143350200373,0.8203511395181686,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.0444874497808178,0.2102081880793796,0.095763822443,0.06,0.05,0.8,1.5,0.7988042448193612,18.311678796066182,5.115612530019178e-05,3134709858.3278985,8757.23149571724,0.0049273452739936035,2567.831900397495,1.2633778087726526,3.5492500924577166e-05,1.5663624375614608e-05,15.725791784426171,0.018548959440911204,14.462413975653519,816.3844417637445,0.001917234769129708,0.082,0.7988042448193612,1.767264514702531,0.7988042448193612,0.08200000000000002,9269.768132860125,0.006281983601145395,118.18601621946652,0.08119498649562473,0.19549744046672052,25.355474488720585,4340511688.062632,0.004048452135346633,0.7221982299803601,0.002923784966307548
BGR,26961.2912585423,6465097.0,0.76363,0.4856640200425024,0.5481724147748034,0.8333333333333334,0.7250000000000001,0.3470229186386416,0.2779317433954221,0.0801391761858496,0.002478634814,0.06,0.05,0.8,1.5,0.5310043842452089,39.338164912415436,1.137897174374532e-05,254325051.96076232,73.56615608357265,0.013862251110939972,3235.3549510250764,3.20293588851837,1.1000863308384458e-05,3.781084353608636e-07,39.38857267218975,0.04084373424832191,36.18563678367137,163.16999462313117,0.002237080321617002,0.06000000000000001,0.5310043842452089,1.5080792690266043,0.5310043842452089,0.024000000000000004,9323.173707711456,0.01339330853256281,144.78604284579438,0.022975981259687663,0.040571392061508546,50.37488306899387,325678505.404703,0.00186841507648612,0.7809083121550388,0.0014590608637838035
BIH,16737.226012295796,3233526.0,0.49841,0.202715421325147,0.3587490009203474,0.7407407407407408,0.5203703703703704,0.3638449267006413,0.1932890358513667,0.1380499995836406,0.000749787577,0.06,0.05,0.8,1.5,0.3764420468272236,55.24054028834466,3.333194555090633e-05,178621723.27640992,107.77971256943992,0.013040403769350853,2343.211641721412,2.696365854738467,2.64994671899421e-05,6.832478360964225e-06,50.310949579277064,0.029581618426128588,47.61458372453859,312.3937905968704,0.0030672807048394597,0.07,0.3764420468272236,3.568607449088945,0.3764420468272236,0.028,6440.13828355321,0.016593449375767982,106.5338606800915,0.026386373599505037,0.061081100333241795,72.17484913483153,233379251.22355527,0.004312234839979407,0.7653710530817808,0.003300459720610983
