iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.2990212965115643,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.031094254064094575,2.2657931669055977,1.096023792634664e-05,80637283.56169213,390.06376507765754,0.01045708067787829,826.8561947478463,0.06493822185367365,5.5591835787419335e-06,5.401054347604706e-06,1.8514763658227615,0.022257010726927547,1.7865381439690877,399.94390022918196,0.00015860856361125947,0.07,0.031094254064094575,0.12399582471296179,0.031094254064094575,0.028000000000000004,4811.1465889641995,0.00015749231224451281,23.875986791383323,0.02792294050526415,0.07146065343626055,4.9747688368053895,177046983.46107212,0.0008423080598255007,0.45545697523517603,0.00038363508114433226
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.1266161307515325,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1.9315045013825483,82.43170075536375,7.427461536717925e-05,228969628.43946558,206.31178208464476,0.007721463296744931,3718.096176966984,3.5599497932591833,3.8656393879810993e-05,3.561822148736826e-05,67.33076910095066,0.04764400114763811,63.77081930769145,1980.438446493814,0.002507943562022255,0.08,1.9315045013825485,11.726306128296539,1.9315045013825483,0.047999999999999994,22948.07052749936,0.0036016789619510124,170.78075592884736,0.046726135596171246,0.11271846931524543,143.22026675788814,397821359.5504516,0.00924474849113038,0.5755589109096786,0.005320897373188896
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.3686808884908658,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.17867188186000177,45.187621068647886,1.8189515128336767e-05,2089241978.2133532,840.9891397410785,0.006686560237280634,2695.372913114399,1.617671630123715,1.4848561408980896e-05,3.340953719355869e-06,39.53967197064925,0.026959603612483018,37.92200034052554,715.7979235109259,0.0011675583035037577,0.060000000000000005,0.17867188186000177,1.2231002698761182,0.17867188186000177,0.023999999999999997,8767.856468674485,0.00496328889559982,120.17627621006568,0.023435890113202934,0.05256789869960676,61.231872812480695,2831045230.0666666,0.0027260883648962536,0.737975485529122,0.002011786384679603
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.1812063985600953,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.7303436407269132,43.57801855841208,3.167085260703425e-05,121167329.68308948,88.05982387742792,0.003918496967245487,2247.980904017996,3.4777379783854663,1.8214509718311364e-05,1.345634288872289e-05,33.4648691890207,0.06361527254892675,29.98713121063524,470.42946832721725,0.004098444701877082,0.07,0.7303436407269132,4.4212927792421475,0.7303436407269132,0.028000000000000004,4786.216252687682,0.016435226844048214,85.27297369031456,0.026096229226019996,0.06642292923670937,64.44016268275873,179173874.69436747,0.004013211482117644,0.6762555639865198,0.002713956594236644
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.5273681203769831,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.3031968324549406,35.95637898983895,3.854106233046547e-06,935065052.0754166,100.2281138077413,0.04343258742410412,16042.342684935913,2.523810220957087,3.382379811382925e-06,4.7172642166362156e-07,33.89263948808733,0.1445709431065188,31.36882926713024,3197.8730165170905,0.00047978093299930256,0.0628,1.3031968324549406,2.0935532498092857,1.3031968324549406,0.0628,69447.9628874945,0.0024838774063165323,830.5544033168696,0.06257971984648215,0.1429748412402251,44.5072635087694,1157435421.4678428,0.0008711496204900713,0.8078766510269579,0.0007037814379449241
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.4863142984973715,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,3.4559742488078906,91.49851449873852,8.253839827554126e-06,827315934.8189334,74.62998989861009,0.03367067806663484,5642.585564527916,6.00443250097281,7.2525499715484866e-06,1.001289856005639e-06,85.80819688116824,0.046208993775580895,79.80376438019539,1226.1064635505795,0.0009626854249826281,0.050499999999999996,3.455974248807891,5.747785889216289,3.4559742488078906,0.0202,31026.176719978885,0.004995725147645648,299.3025457076769,0.019784634936093424,0.041401715092232616,108.99114280543287,985481673.5664461,0.0019508973851546207,0.839504129817947,0.001637786411688338
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.2667493668249915,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,1.2302570318998454,27.802581032257848,2.0659476445246127e-05,281966992.9993872,209.5233691954336,0.0030511271419055956,2113.199774068488,3.0776530487540907,1.5208595129540388e-05,5.450881315705739e-06,26.21077849078702,0.0031288083255858272,23.133125442032927,171.3555448849449,0.0037887421456728985,0.07,1.2302570318998454,4.6815021663251075,1.2302570318998456,0.028,3448.8716452215394,0.022298618764530997,84.3793059793978,0.0263107899482926,0.05297550590680264,38.31228822300648,388553878.95940536,0.002538198431137572,0.725683124704685,0.0018419277686284425
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.3913441309474934,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,1.5333424249232446,50.834902000561385,5.428557391711035e-06,594047209.4867883,63.43711196786029,0.02960536867715259,5541.863975895905,3.0247073715868944,4.010627929161824e-06,1.4179294625492098e-06,45.580855785168495,0.0486632070144372,42.556148413581575,1654.731540640912,0.0005214592240692348,0.052000000000000005,1.5333424249232446,5.088528802562627,1.5333424249232446,0.020800000000000003,32580.991420381302,0.0016752607213980704,312.28052089480866,0.020534309619653284,0.04384341734995134,66.77566435270283,780327993.3521158,0.0012531287528684627,0.7612788654869261,0.00095398043529275
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.2078710557847205,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.04214919383273024,2.5593919888685206,1.9562265908102998e-05,34175213.15005086,261.2122762027359,0.005135052473987795,687.0343233151799,0.12500359079802845,1.2913009280312372e-05,6.649256627790631e-06,2.1924117998201855,0.016997107024265278,2.0674082090221573,153.37907793942566,0.0006078423810498845,0.10000000000000003,0.04214919383273025,0.1672317689542574,0.04214919383273025,0.04,1503.129008319926,0.002297988868644417,27.862080232459718,0.03971067069015405,0.11762173846560159,3.9385994507167337,52591582.815895244,0.0011465509995808127,0.6498228674669547,0.0007450550582447069
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.2834343517276895,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.009836782821742144,0.4202483088120298,7.67896580799697e-06,9528610.134906467,174.111043136661,0.007521228644658323,431.77170315087994,0.0248932859173336,4.031070783966762e-06,3.6478950240302077e-06,0.3251223369507,0.018984052718386213,0.3002290510333664,135.01938275243424,0.0001651578348703912,0.09999999999999999,0.009836782821742144,0.03596831034040247,0.009836782821742144,0.04000000000000001,840.5556059348991,0.00039680129868574444,17.45410832285797,0.039920399457510254,0.12283086205566972,0.770262944399108,17464758.67872461,0.00035679176693519647,0.5455907127141769,0.00019466227441272436
