iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.0287067759284681,2.065029395894455,9.962142505430967e-06,73492304.32510561,354.5425601179301,0.01045708067787829,826.8561947478463,0.05975876163496542,5.074903244375137e-06,4.887239261055829e-06,1.6879981958730494,0.02225701072692755,1.628239434238084,392.7226102140955,0.00015067813543069922,0.07,0.028706775928468105,0.11447518080875534,0.0287067759284681,0.028000000000000004,4811.1465889641995,0.00015558194068891903,23.875986791383323,0.027926779162216173,0.07029832582356407,4.521740898041973,160924178.0377841,0.0007656031722891379,0.45668901479708063,0.00034964255847824596
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1.8213473633890231,77.30266931051706,6.982535245772489e-05,214722774.2144608,193.9531134429454,0.007721463296744931,3718.096176966984,3.3527129318609314,3.628449331800476e-05,3.3540859139720135e-05,63.155610499547514,0.0476440011476381,59.80289756768656,1973.0624136512813,0.0023825463839211407,0.08,1.8213473633890231,11.057534027892698,1.8213473633890231,0.048,22948.07052749936,0.0034195944774912577,170.78075592884733,0.046786103212361985,0.11231394826570704,134.64096119544413,373990716.862012,0.008690961489131361,0.5741393155854325,0.004989822681149231
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.16468877258931897,41.32656364491896,1.6553014907140025e-05,1910726644.6070085,765.3258302190848,0.006686560237280634,2695.372913114399,1.5040933590177987,1.3620645164795352e-05,2.9323697423446753e-06,36.18584742247111,0.026959603612483018,34.681754063453305,707.958867430224,0.0011091803883285672,0.060000000000000005,0.16468877258931897,1.1273787464632723,0.16468877258931897,0.024,8767.856468674487,0.004850643534305036,120.17627621006568,0.02346302582521541,0.051948312323891535,55.72287641016273,2576337717.934884,0.002480823761597149,0.7416444790237323,0.0018398892462194135
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.6885823105964473,40.6438900330038,2.952321669377004e-05,113009076.27617605,82.08838879731009,0.003918496967245487,2247.980904017996,3.280691617422593,1.7035580960008777e-05,1.2487635733761262e-05,31.24877515239656,0.06361527254892677,27.96808353497397,465.72591980740697,0.003893522466783226,0.07,0.6885823105964473,4.1684815585219885,0.6885823105964473,0.028000000000000004,4786.216252687683,0.015802024316552338,85.27297369031457,0.026179735169475263,0.06585230546660462,60.07040322755092,167023893.99170527,0.003741071126016026,0.676604248502243,0.002531224617811513
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.1959204065482063,32.56668932443864,3.480749366695177e-06,846914341.8942621,90.5187668855661,0.04343258742410412,16042.342684935913,2.3461607108661453,3.0753979101061905e-06,4.053514565889866e-07,30.75777906383436,0.1445709431065188,28.411618352968205,3085.957203874909,0.00045579188634933723,0.0628,1.1959204065482063,1.921216343755047,1.1959204065482063,0.0628,69447.9628874945,0.0024192562822777184,830.5544033168696,0.06259061971130103,0.1380703023950166,40.195734083081106,1045311770.526929,0.0007867591878547313,0.8102026264062278,0.000637434360349134
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,3.2791327849805683,86.35344452559005,7.802123810031178e-06,780794978.7371508,70.5456409738542,0.033670678066634846,5642.585564527916,5.699435372156006,6.854249012414989e-06,9.478747976161864e-07,81.01573944650767,0.046208993775580895,75.31630407435163,1225.0099042124511,0.0009145511537334947,0.0505,3.2791327849805683,5.453672913471273,3.2791327849805683,0.0202,31026.176719978885,0.00475413425054021,299.3025457076769,0.019803879266771234,0.041367396927768335,103.02627723959182,931548247.8850806,0.0018441287034464948,0.838169123832084,0.0015456917396013455
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,1.16099341220368,26.29379939305315,1.963800947778103e-05,266665297.7572931,199.16390044934266,0.0030511271419055956,2113.199774068488,2.919165251716262,1.4395976372391384e-05,5.242033105389649e-06,24.79690958780574,0.0031288083255858272,21.877744336089474,168.73450207529723,0.0036033661407528107,0.07,1.16099341220368,4.417933028130972,1.1609934122036798,0.028,3448.8716452215394,0.021200082885708738,84.3793059793978,0.026381302336526538,0.05224426547438647,36.418012878153384,369342600.61508936,0.0024127022279230247,0.7219998378556893,0.0017419706173544842
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,1.4539877285506793,48.02319554263074,5.139531186767343e-06,561190130.7968119,60.05960549576242,0.02960536867715259,5541.863975895905,2.86873086187327,3.7926374943384335e-06,1.3468936924289093e-06,43.07107524298518,0.0486632070144372,40.2023443811119,1649.4588792298766,0.0004953862628657752,0.052000000000000005,1.4539877285506793,4.825183413074285,1.4539877285506793,0.0208,32580.991420381302,0.0015914785193733925,312.28052089480866,0.020547128648427494,0.043720548860375325,63.220407318868226,738781920.9325328,0.0011864099136607528,0.7596154086830463,0.0009012152514310304
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.03876340980878038,2.3337850676926952,1.7641599785456577e-05,31162714.614131358,235.5658826776309,0.0051350524739877945,687.03432331518,0.11696828523903756,1.1813359795381668e-05,5.828239990074913e-06,2.0021372738214542,0.016997107024265278,1.885168988582417,150.32726314538755,0.0005774502619973892,0.10000000000000003,0.03876340980878038,0.15379828185438033,0.03876340980878038,0.04000000000000001,1503.129008319926,0.0022878664336931265,27.862080232459718,0.039725049199006296,0.1153802799300318,3.55189912820798,47428026.00067972,0.0010339801106497358,0.6570527437444843,0.0006793794686796344
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.008906477752889722,0.3784053871012928,6.72752715148012e-06,8579873.686652584,152.53834948119817,0.007521228644658324,431.77170315088006,0.022984382866132257,3.6491074431153997e-06,3.0784197083647196e-06,0.2933204862914763,0.018984052718386213,0.27033610342534403,131.37337436207264,0.00015689994312687025,0.1,0.00890647775288972,0.03256663907916717,0.00890647775288972,0.04000000000000001,840.5556059348991,0.00041681596624615444,17.454108322857973,0.03992437314207331,0.11960548385957759,0.6748258817388482,15300841.433986789,0.00031258457968146854,0.5607452193834682,0.00017528030870937427
