iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc,dc_long_term,dc_npv_pre,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,macro_multiplier_Gamma,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.028143638316337594,2.109416152534417,9.634970368327328e-06,75071984.03013739,342.8988351837865,0.01045708067787829,826.8561947478463,0.059668318526436795,5.160346508250062e-06,4.474623860077266e-06,2.1094161525344175,1.7229059313196553,3.192930920699571,0.022257010726927547,1.6632376127932182,392.7226102140955,0.00014755159708593104,0.07,0.02814363831633759,0.11222953399249543,0.028143638316337594,0.028000000000000004,4811.1465889642,0.00015403468410292025,23.875986791383323,0.21185077277681627,0.02792830056602637,0.07029832582356407,4.373239947344388,155639179.6339201,0.0007404595823520729,0.482346310271711,0.0003571579474528545
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1.7862101310436305,76.40391460170895,6.601652629474548e-05,212226313.14610633,183.37337890712527,0.0077214632967449294,3718.096176966984,3.2964411190327874,3.574680688086228e-05,3.0269719413883193e-05,76.40391460170895,62.40404399290451,111.13542017342067,0.04764400114763811,59.1076028738717,1929.3359316918218,0.002336571355434396,0.08,1.7862101310436305,10.844213301646276,1.7862101310436305,0.047999999999999994,22948.07052749936,0.0034988600977405786,170.78075592884736,0.35029681576231003,0.04681015273740948,0.10991587293815887,127.29657985601033,353590309.6036615,0.008216887813365934,0.6002039857483377,0.004931808816029177
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.16130143410005332,42.67668065897621,1.6869771317575975e-05,1973149075.2320533,779.9710090070012,0.006686560237280634,2695.372913114399,1.5052811365710759,1.3939445796862946e-05,2.9303255207130285e-06,42.67668065897621,37.32006979348192,87.23393175854206,0.02695960361248302,35.81478865691085,707.9588674302239,0.0010893752404618152,0.060000000000000005,0.16130143410005332,1.1041906847646283,0.16130143410005332,0.023999999999999997,8767.856468674485,0.004649977899782515,120.1762762100657,0.2198272192058405,0.023472698840387954,0.051948312323891535,56.78918236166863,2625638192.3307476,0.002528296492942831,0.7514931345055247,0.001899997456440933
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.688390375749721,42.26132403690143,3.043739727621493e-05,117506301.38355929,84.63023956720005,0.003918496967245487,2247.980904017996,3.324101435344118,1.754614611984312e-05,1.2891251156371805e-05,42.26132403690143,32.405182011117645,94.81911983156252,0.06361527254892677,29.081080575773537,465.72591980740697,0.003892384239838509,0.07,0.688390375749721,4.167319639523049,0.688390375749721,0.028000000000000004,4786.216252687683,0.015284792958418014,85.27297369031457,0.31583181132334176,0.026181372603843095,0.06585230546660462,61.93047141659246,172195755.92922142,0.0038569126556306085,0.68239952111165,0.0026319553491717896
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.1473907909530519,31.803353504502986,3.349842821232195e-06,827063381.6954925,87.11447148126669,0.04343258742410413,16042.342684935915,2.2935466039370835,2.9886133750047197e-06,3.6122944622747484e-07,31.803353504502986,30.03922050749861,50.70873975381688,0.14457094310651883,27.745673903561517,2856.4698513718286,0.00045234416328176043,0.0628,1.1473907909530519,1.843254725133062,1.1473907909530519,0.0628,69447.9628874945,0.002443963037343071,830.5544033168695,0.5166573810620626,0.06259219314989378,0.12801967510182846,38.68402377681429,1005998927.6888951,0.0007571701779769214,0.8221314744296245,0.0006224934348143076
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,3.282545211869308,88.66707239261544,7.94488632876586e-06,801714457.1802423,71.83647839663792,0.033670678066634846,5642.585564527916,5.718015711592594,6.993344881570636e-06,9.515414471952229e-07,88.66707239261544,83.05223465784194,130.11506066655397,0.046208993775580895,77.33421894624931,1225.009904212451,0.0009156966931159501,0.0505,3.282545211869308,5.459348273791405,3.282545211869308,0.020199999999999996,31026.176719978885,0.00473639226338933,299.3025457076769,0.15053043076321765,0.019803598720468173,0.041367396927768335,104.9114422526965,948593629.0439861,0.0018778723949060506,0.8451611234077422,0.001587104742895185
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,1.2221686646865688,27.879930428360737,2.0043535893263034e-05,282751451.70141006,203.27665040671573,0.0030511271419055956,2113.199774068488,3.114705730527289,1.517834895515983e-05,4.865186938103205e-06,27.879930428360737,26.312189703907997,56.686149135084264,0.003128808325585827,23.197483973380706,168.73450207529723,0.003809923730757512,0.07,1.2221686646865688,4.65072346915114,1.2221686646865688,0.028,3448.8716452215394,0.02248912272196017,84.37930597939781,0.2862953070582187,0.026283849472367907,0.05224426547438647,37.17004766244068,376969553.90084374,0.002462524715646237,0.7500644250325417,0.0018470521849696178
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,1.4504060689799556,48.58708373404783,5.138283308014927e-06,567779623.3185084,60.04502301676714,0.02960536867715259,5541.863975895904,2.871541268596707,3.820703201540012e-06,1.3175801064749142e-06,48.58708373404783,43.545941434577585,69.8191251240912,0.0486632070144372,40.674400165980856,1649.4588792298766,0.0004939765393850241,0.052000000000000005,1.4504060689799556,4.813297367537188,1.4504060689799558,0.0208,32580.991420381302,0.001605982846022997,312.28052089480866,0.15017401323999371,0.020547925998391642,0.04372054886037532,63.205057396833425,738602544.5987196,0.0011861218531997665,0.7687214557688551,0.0009117973177109768
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.03868095992401328,2.417740112776799,1.7886716922945663e-05,32283754.913253255,238.83889847859191,0.0051350524739877945,687.0343233151799,0.11803318957457652,1.2151994244031752e-05,5.734722678913911e-06,2.417740112776799,2.0710188120101116,5.87792547231137,0.016997107024265278,1.952985622435535,150.32726314538755,0.000576208668911092,0.1,0.038680959924013276,0.1534711524640913,0.03868095992401328,0.04,1503.129008319926,0.0022262120406335976,27.862080232459718,0.5008551841458562,0.03972565964845412,0.1153802799300318,3.6012501710580764,48087003.76411523,0.0010483465087103043,0.6713613322971248,0.0007038193087967892
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.008027212148867945,0.3532004116661682,6.120432049382121e-06,8008382.072420723,138.77321962486243,0.007521228644658323,431.7717031508799,0.020824693678767416,3.368555598353843e-06,2.751876451028278e-06,0.3532004116661682,0.27315414318657844,0.8956352638586642,0.018984052718386213,0.252329449507811,131.3733743620726,0.00014121500063777467,0.09999999999999998,0.008027212148867945,0.02935159421234397,0.008027212148867945,0.04000000000000001,840.5556059348991,0.00036028537998094494,17.45410832285797,0.5390197678220985,0.039931924578270196,0.11960548385957759,0.6139292880353974,13920086.561744047,0.0002843768054067515,0.5753112264710911,0.00016360516869848903
