iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc,dc_long_term,dc_npv_pre,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,macro_multiplier_Gamma,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.029624882438250025,2.144323525089525,1.1176183138443171e-05,76314302.05820528,397.74903642367315,0.01045708067787829,826.8561947478463,0.02312463982474581,5.069504339987304e-06,6.106678798455865e-06,2.144323525089525,1.713886103199882,3.246287075728273,0.022257010726927547,1.6907614633751358,392.7226102140954,0.00015531747061676914,0.07,0.029624882438250025,0.11813635157104752,0.029624882438250025,0.028000000000000004,4811.1465889641995,0.00012788283645987864,0.0,0.21185077277681624,0.02792453950666545,0.07029832582356407,5.072784730147702,180535269.81502506,0.0008589037207821298,0.4227113191588341,0.000363068324842245
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1.8802211905722432,79.55540922174184,7.741993644062442e-05,220980185.08573088,215.04850583182164,0.007721463296744931,3718.096176966984,1.2246901028065589,3.5646868617139015e-05,4.1773067823485416e-05,79.55540922174185,62.77035251107656,115.78290310846717,0.04764400114763811,61.54566240826997,1929.3359316918222,0.0024595487951941017,0.08,1.8802211905722435,11.414961370153978,1.8802211905722435,0.047999999999999994,22948.07052749936,0.0026556651737308914,0.0,0.35029681576231003,0.04675102686906404,0.10991587293815887,149.28524226736863,414667975.3084049,0.009636237590119398,0.5329087323933787,0.005135235159191955
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.16979098326321412,43.12848171918915,1.893966464342664e-05,1994038020.444818,875.6721750458412,0.006686560237280634,2695.372913114399,0.12638479206942926,1.3244956975649926e-05,5.6947076677767155e-06,43.12848171918915,36.32033038519553,88.13495476401695,0.026959603612483018,36.1939455931261,707.9588674302239,0.0011467107794334904,0.060000000000000005,0.16979098326321412,1.1623059839627674,0.16979098326321412,0.023999999999999997,8767.856468674485,0.002444743697985307,0.0,0.2198272192058405,0.023445896626658427,0.051948312323891535,63.75712207691929,2947799700.51561,0.0028385143339553893,0.6764496312609143,0.0019201119745329428
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.7246214481576011,43.14041312965606,3.469309919861318e-05,119950581.35420166,96.46308683566878,0.003918496967245487,2247.980904017996,0.501478374504414,1.597430491711601e-05,1.8718794281497164e-05,43.14041312965606,30.18748227727448,97.18389957673806,0.06361527254892675,29.686003902770068,465.72591980740697,0.004097246568251062,0.07,0.7246214481576011,4.386652252129525,0.7246214481576011,0.028000000000000004,4786.216252687683,0.01051640005434958,0.0,0.31583181132334176,0.02609682295823608,0.0658523054666046,70.58947809416333,196271855.5670002,0.004396179218212679,0.6111450926455159,0.002686703355600879
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.207779779950584,32.753820263760346,3.6659181242749664e-06,851780783.0220302,95.33418041755762,0.04343258742410412,16042.342684935913,1.0139751400747428,2.8929889406319257e-06,7.729291836430411e-07,32.753820263760346,29.58884904466118,52.320468828080685,0.1445709431065188,28.574873904586433,2856.4698513718286,0.0004761517508229069,0.0628,1.207779779950584,1.9402681317190178,1.207779779950584,0.0628,69447.9628874945,0.0021147859965688744,0.0,0.5166573810620626,0.0625813540500489,0.12801967510182846,42.33406504462303,1100920221.880546,0.0008286131698516785,0.773698916681768,0.0006410971118624895
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,3.4553107493361175,91.47716290848906,8.663060957430575e-06,827122876.9212848,78.33010638100461,0.03367067806663484,5642.585564527916,2.892880248496497,6.87403553846316e-06,1.7890254189674158e-06,91.47716290848908,82.67802206102792,134.40356916060378,0.046208993775580895,79.78514181253138,1225.0099042124511,0.0009638912559115272,0.050499999999999996,3.455310749336118,5.746682393464643,3.4553107493361175,0.0202,31026.176719978885,0.0036102099675744052,0.0,0.15053043076321765,0.019784090899017275,0.041367396927768335,114.39486756108778,1034341347.6520891,0.0020476218732602444,0.7996614258908034,0.0016374042268564848
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,1.2725095072893913,29.305665168639365,2.683500230060226e-05,297210905.5580393,272.15404559214676,0.0030511271419055956,2113.199774068488,0.9058834407608537,1.4567365672289982e-05,1.2267636628312277e-05,29.305665168639365,25.289649383994032,61.07565719211931,0.0031288083255858272,24.383765943233172,168.73450207529723,0.003963229799358594,0.07,1.2725095072893913,4.842285685492068,1.2725095072893915,0.028,3448.8716452215394,0.01991503781030706,0.0,0.2862953070582187,0.026227823761795787,0.05224426547438647,49.764588436232636,504700313.360693,0.003296916111087361,0.5888859144528256,0.001941507458951934
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,1.5267432305052153,50.53153086774444,5.766858157726026e-06,590502070.8557203,67.390431795569,0.02960536867715259,5541.863975895905,1.0367494575835345,3.7672722349585264e-06,1.9995859227675e-06,50.53153086774444,43.33893245676518,72.67701255016073,0.0486632070144372,42.30218299918162,1649.4588792298766,0.0005199753046158144,0.052000000000000005,1.5267432305052153,5.066628807933878,1.5267432305052153,0.020800000000000003,32580.991420381302,0.0011644585793572878,0.0,0.15017401323999374,0.020535088319315616,0.04372054886037532,70.9370385027068,828957037.6534702,0.0013312221368783884,0.7123433954155877,0.0009482872970363454
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.04071679992001405,2.470265490943054,2.274578082344749e-05,32985119.144455835,303.72131790930234,0.0051350524739877945,687.0343233151799,0.03267317251105778,1.1692452811039567e-05,1.1053328012407926e-05,2.470265490943054,2.028087386766526,6.027641984764343,0.016997107024265278,1.9954142142554683,150.32726314538755,0.0006065354409590454,0.10000000000000002,0.04071679992001405,0.16154858154114898,0.040716799920014056,0.04,1503.129008319926,0.0012161555577002762,0.0,0.5008551841458562,0.03971128932587761,0.1153802799300318,4.579557413144321,61150207.31790793,0.0013331378819754919,0.5394114033493406,0.0007191097757745676
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.00844969699880834,0.3599619130992295,8.01178854278385e-06,8161690.746676613,181.6573866134078,0.007521228644658323,431.77170315087994,0.0067007736510010935,3.1695024774729674e-06,4.842286065310881e-06,0.3599619130992295,0.26386069865685086,0.9155153264398774,0.018984052718386213,0.2571599250058498,131.3733743620726,0.00014864736909239398,0.09999999999999999,0.00844969699880834,0.03089641496036199,0.00844969699880834,0.04000000000000001,840.5556059348991,0.00021737081419752563,0.0,0.5390197678220985,0.0399283460657342,0.11960548385957759,0.8036477811166942,18221718.52086802,0.0003722558821025214,0.4479100441228755,0.0001667371485775403
