iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc,dc_long_term,dc_npv_pre,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,macro_multiplier_Gamma,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.03340640987542563,2.456933878544072,1.2678551205686095e-05,87439787.86336453,451.21679403799675,0.01045708067787829,826.8561947478463,0.02607642729622138,5.807945155369436e-06,6.870606050316659e-06,2.4569338785440715,1.9633256675803765,3.725587803057019,0.022257010726927547,1.9372492402841548,392.7226102140954,0.0001763124996815009,0.07,0.03340640987542563,0.13321610271351753,0.03340640987542563,0.028000000000000004,4811.1465889642,0.0001439650862190586,0.0,0.21185077277681627,0.0279143432410162,0.07029832582356407,5.754698197041109,204803879.32341948,0.0009743625949751089,0.4269440019995059,0.0004159982656972966
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1.7963505238429032,74.85241808994445,7.272026562526699e-05,207916738.35183972,201.99428190438223,0.007721463296744931,3718.096176966984,1.170077705727863,3.354693469756214e-05,3.9173330927704855e-05,74.85241808994445,59.077411716994455,108.81258824745852,0.04764400114763811,57.90733401126656,1929.3359316918222,0.002346804894159702,0.08,1.7963505238429032,10.905776373407345,1.7963505238429032,0.047999999999999994,22948.07052749936,0.002578750697761551,0.0,0.35029681576231003,0.04680924659074864,0.10991587293815887,140.22308685232787,389496125.89575577,0.009051283033784075,0.5338095157523756,0.00483166101320197
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,0.184100348284872,46.44627397418935,2.0451465674179188e-05,2147435581.330069,945.57003869651,0.006686560237280634,2695.372913114399,0.1370283016100734,1.4264049499465088e-05,6.187416174714096e-06,46.44627397418935,39.11530544502452,95.15364735657806,0.026959603612483018,38.97827714341445,707.9588674302239,0.0012303750164240818,0.060000000000000005,0.18410034828487198,1.2602608945930767,0.184100348284872,0.023999999999999997,8767.856468674485,0.0025955278243006558,0.0,0.2198272192058405,0.023405853732422596,0.051948312323891535,68.84634011157736,3183098831.18096,0.003065090093171327,0.6746367911339246,0.002067822544993486
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,0.7135431468423442,42.29319858064722,3.4046557233421344e-05,117594927.56433362,94.66539694425381,0.003918496967245487,2247.980904017996,0.4938623401982352,1.5661264717957527e-05,1.838529251546382e-05,42.29319858064722,29.59687659164596,95.21187628885824,0.06361527254892675,29.10301425144773,465.72591980740697,0.004031549164815438,0.07,0.7135431468423443,4.319587365300821,0.7135431468423442,0.028000000000000004,4786.216252687682,0.01038348718411079,0.0,0.31583181132334176,0.026129474611119793,0.0658523054666046,69.2739697958822,192614125.52438676,0.004314251848887533,0.610520787321203,0.0026339404354847724
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,1.3186948728263095,36.44213532501486,4.083305081020828e-06,947697407.8800869,106.1885536166904,0.04343258742410413,16042.342684935913,1.1070922726838341,3.2170497921145854e-06,8.66255288906243e-07,36.44213532501486,32.89970190846205,58.439465488582066,0.1445709431065188,31.792609635778206,2856.4698513718286,0.0005235980034171012,0.0628,1.3186948728263095,2.1184504656228276,1.3186948728263095,0.0628,69447.9628874945,0.002299012876511195,0.0,0.5166573810620626,0.06255942007585984,0.12801967510182846,47.15405446518632,1226266649.5565815,0.0009229557922342597,0.7728314296264802,0.0007132892443944436
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,3.448586118919996,91.26076250527507,8.64284778533887e-06,825166216.7190839,78.14734189071406,0.03367067806663484,5642.585564527916,2.887250622924182,6.857855478496884e-06,1.7849923068419869e-06,91.26076250527508,82.48365093637796,134.07531658512968,0.046208993775580895,79.59640031345374,1225.0099042124511,0.000961633821767064,0.050499999999999996,3.4485861189199962,5.735498358795024,3.448586118919996,0.0202,31026.176719978885,0.0036021221730863293,0.0,0.15053043076321765,0.019785110387156617,0.041367396927768335,114.127954612445,1031927960.5404904,0.0020428442394069993,0.7996354864605942,0.0016335307471414386
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,1.203698141656368,26.857778479583125,2.5387340793466885e-05,272385036.041983,257.47221581618754,0.0030511271419055956,2113.199774068488,0.8569032644033475,1.336449335918546e-05,1.2022847434281427e-05,26.857778479583125,23.203906153871156,57.0150304011967,0.0031288083255858272,22.347002889467802,168.73450207529723,0.003730888954438252,0.07,1.203698141656368,4.580437511552907,1.2036981416563681,0.028,3448.8716452215394,0.018545768453339412,0.0,0.2862953070582187,0.026338619460615696,0.05224426547438647,47.07994998192733,477473365.20891136,0.003119058159267155,0.5704716867773452,0.0017793343692737752
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,1.53050640220237,50.7045273864758,5.7852646163966264e-06,592523675.9962623,67.60552624799233,0.02960536867715259,5541.863975895905,1.0393040922241417,3.7801042342821864e-06,2.005160382114441e-06,50.7045273864758,43.486310140854826,72.93682140354214,0.0486632070144372,42.447006048630655,1649.4588792298766,0.0005214564703711925,0.052000000000000005,1.53050640220237,5.079117217084182,1.53050640220237,0.020800000000000003,32580.991420381302,0.0011667010004063482,0.0,0.15017401323999374,0.020534311064708686,0.04372054886037532,71.16345289191204,831602874.0926462,0.0013354710857121676,0.7125079703972392,0.0009515337928049741
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.047997333899214824,2.923275302582823,2.6869257037456037e-05,39034097.549947284,358.7815350021933,0.005135052473987795,687.0343233151799,0.03851544182106127,1.3835958464214253e-05,1.3033298573241782e-05,2.923275302582823,2.399858832781377,7.145799366110542,0.016997107024265278,2.3613433909603154,150.32726314538758,0.0007161712600831305,0.10000000000000002,0.047997333899214824,0.19043493654725274,0.047997333899214824,0.04,1503.129008319926,0.001432753823615457,0.0,0.5008551841458562,0.03965946649724557,0.1153802799300318,5.409763956079126,72235842.37762654,0.0015748162129586572,0.5403702132507732,0.0008509837728272446
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.011794850238435744,0.5053510653707061,1.116853818385754e-05,11458209.782661833,253.23277666869808,0.007521228644658323,431.77170315087994,0.009353545641637002,4.449142378448896e-06,6.719395805408644e-06,0.5053510653707061,0.3703807469737194,1.2876386827554884,0.018984052718386213,0.3610272013320824,131.3733743620726,0.0002083205053333384,0.1,0.011794850238435744,0.04312800653247438,0.011794850238435744,0.04000000000000001,840.5556059348991,0.0003054130364627186,0.0,0.5390197678220985,0.03989964403835897,0.11960548385957759,1.120295534741541,25401314.324392434,0.0005189295762395345,0.4510872798286155,0.00023408253096850778
