iso3,k_labor_share,self_employment,owner_occupied_share_of_value_added,real_est_k_to_va_shares_ratio
ABW,,,0.0675036816250597,3.705328168012808
AFG,0.045410259501173555,0.817169670984926,0.04351317031771888,3.705328168012808
AGO,0.47452199320598165,0.655007400457814,0.04511878484642958,3.705328168012808
AIA,,,,3.705328168012808
ALA,,,,3.705328168012808
ALB,0.45940917741019816,0.523627444248986,0.06510556443994482,3.705328168012808
AND,,,0.1035923360605963,3.705328168012808
ARE,0.3649108612158393,0.0487067719248274,0.03125725243152105,3.705328168012808
ARG,0.5542556882995529,0.257532871092025,0.054230026607118335,3.705328168012808
ARM,0.4545300650528657,0.609061512543324,0.07937551931482487,3.705328168012808
ATG,0.5420512622817002,,0.03635945235373607,3.705328168012808
AUS,0.5739538387984233,0.13057964759743101,0.07178090494018849,3.705328168012808
AUT,0.6399463807635687,0.157215546374602,0.045752330202528134,3.705328168012808
AZE,0.3463726450004336,0.6754557894723691,0.029357610920977332,3.705328168012808
BDI,0.4364374851729507,0.8475507922333191,0.045850115208894746,3.705328168012808
BEL,0.6026600819067334,0.150241650782864,0.06723136376655965,3.705328168012808
BEN,0.4810808316080708,0.8803963841468629,0.03874248199844289,3.705328168012808
BFA,0.44939656301900743,0.752755377834778,0.04092484365530483,3.705328168012808
BGD,0.47604591864025836,0.533941897588006,0.06946488976734187,3.705328168012808
BGR,0.5096451083755651,0.11293676296003201,0.06935274943903241,3.705328168012808
BHR,0.5071477913684797,0.0263265125144384,0.06367613499735653,3.705328168012808
BHS,0.5700014683146675,0.158111512965218,0.09628199397654996,3.705328168012808
BIH,0.5042883435101835,0.227038537991475,0.03826573098936193,3.705328168012808
BLM,,,,3.705328168012808
BLR,0.6249453444841218,0.0453709688849566,0.062352782015908416,3.705328168012808
BLZ,0.4336972145369902,0.360459676004445,0.041657108801666586,3.705328168012808
BMU,,,0.07371746275814021,3.705328168012808
BOL,0.26782236655867936,0.6746049096878189,0.0388710818518428,3.705328168012808
BRA,0.4227836828811672,0.31228270990448304,0.0666398587559825,3.705328168012808
BRB,0.4230139676795534,0.204648734502993,0.08250640671813105,3.705328168012808
BRN,0.6921787253769464,0.07632279042270179,0.016479396699906345,3.705328168012808
BTN,0.6192638079809705,0.707052576086817,0.018542807088610797,3.705328168012808
BWA,0.561243115901801,0.31078065052882897,0.024784474188829304,3.705328168012808
CAF,0.22909297174251905,0.945389483362189,0.04333341935873191,3.705328168012808
CAN,0.43197781632692733,0.131513080870593,0.09541678664484955,3.705328168012808
CHE,0.7355017241528419,0.166061918423514,0.025948758974267645,3.705328168012808
CHL,0.6643321005655143,0.246453204652613,0.05213276292490724,3.705328168012808
CHN,0.34643755060579595,0.453054614058699,0.049940654650300106,3.705328168012808
CIV,0.538940277637191,0.7436744421665441,0.04511878484642958,3.705328168012808
CMR,0.5737438179929515,0.694882022728834,0.03939562807173608,3.705328168012808
COD,0.6831924079343752,0.8630303625057251,0.037581139773624636,3.705328168012808
COG,0.5635481992454121,0.756196439862729,0.04511878484642958,3.705328168012808
COK,,,0.06991545924607856,3.705328168012808
COL,0.6776335032978321,0.465934825340389,0.03241961039098461,3.705328168012808
COM,0.64711728308998,0.574777515841956,0.04511878484642958,3.705328168012808
CPV,0.4688803601125826,0.385120664773282,0.06983683851885313,3.705328168012808
CRI,0.6018568087365785,0.269521883663997,0.06012159649292883,3.705328168012808
CUB,,0.28367304452756903,0.054230026607118335,3.705328168012808
CUW,,,0.0743886150899303,3.705328168012808
CYM,,,0.04364875978631662,3.705328168012808
CYP,0.5678356074403329,0.10515626606210599,0.054863694024147945,3.705328168012808
CZE,0.5316520381467809,0.164905171448329,0.07056640640528648,3.705328168012808
DEU,0.6715124874833401,0.0862742215819687,0.042189103186940025,3.705328168012808
DJI,0.3481113652564721,0.506862780791495,0.04511878484642958,3.705328168012808
DMA,0.09071680744356228,,0.054230026607118335,3.705328168012808
DNK,0.5440686710646094,0.0841889998659116,0.05265026900378911,3.705328168012808
DOM,0.6566167636603668,0.42365559403910297,0.040212708898073185,3.705328168012808
DZA,0.3799851822499545,0.320940198493035,0.04511878484642958,3.705328168012808
ECU,0.38982794335372917,0.507938036477426,0.044454248040304095,3.705328168012808
EGY,0.28927228559329055,0.260877691023584,0.04230493200851568,3.705328168012808
ERI,0.0074779901747130395,0.763040916761568,0.04333341935873191,3.705328168012808
ESP,0.4908450404917759,0.151693384007829,0.08124222162494125,3.705328168012808
EST,0.4667065559217494,0.11108434247167401,0.0804251761077301,3.705328168012808
ETH,0.3602498223508156,0.850948840976875,0.04408660173729929,3.705328168012808
FIN,0.45621137632293884,0.131887241270814,0.08410717275052312,3.705328168012808
FJI,0.6132970163018386,0.314050529127821,0.0305010064402794,3.705328168012808
FRA,0.4582809009099716,0.12918804155201902,0.08070333614420362,3.705328168012808
FRO,,,0.05758097732563348,3.705328168012808
GAB,0.4969448291449202,0.33851037350200697,0.054230026607118335,3.705328168012808
GBR,0.4655240559331187,0.134187341614466,0.08490876281113942,3.705328168012808
GEO,0.28590772400254294,0.487384383924351,0.08851428304960425,3.705328168012808
GGY,,,,3.705328168012808
GHA,0.7559134033267799,0.711727725664695,0.019518740573383528,3.705328168012808
GIB,,,0.039994023558945734,3.705328168012808
GIN,0.4182402913464709,0.818802860470411,0.04511878484642958,3.705328168012808
GLP,,,,3.705328168012808
GMB,0.4860751140668,0.692398782635111,0.01686327644300447,3.705328168012808
GNB,0.09690586985227678,0.7831757258655491,0.039323067722458645,3.705328168012808
GNQ,0.1526237375569576,0.873021002624352,0.054230026607118335,3.705328168012808
GRC,0.3095572148487774,0.309524457344361,0.09998454160573288,3.705328168012808
GRD,0.46565571713460363,,0.054230026607118335,3.705328168012808
GRL,,,0.08611332312404288,3.705328168012808
GTM,0.5413293901093221,0.39540840734712296,0.0619556570891973,3.705328168012808
GUF,,,,3.705328168012808
GUM,,0.119046966249006,0.048531049820678004,3.705328168012808
GUY,0.33753470791026874,0.319293271314923,0.019314482362519356,3.705328168012808
HKG,0.7009472564906517,0.0846457548957351,0.015421074985708098,3.705328168012808
HND,0.5257751358734368,0.45651261560525297,0.04511878484642958,3.705328168012808
HRV,0.3917260795065492,0.135379286777243,0.07859278469798574,3.705328168012808
HTI,0.48937249035417185,0.754352409262302,0.03946427362094979,3.705328168012808
HUN,0.3668656623371091,0.122944560329107,0.10822555077756467,3.705328168012808
IDN,0.7808813510500995,0.540456286515265,0.019658918026157685,3.705328168012808
IND,0.4828483143116579,0.7612658681171909,0.05739088408771864,3.705328168012808
IRL,0.6996769447462567,0.137488731291084,0.04261023094157367,3.705328168012808
IRN,0.46831576911816053,0.42510849204283097,0.07948312004410854,3.705328168012808
IRQ,0.14255855418185462,0.31597308287550896,0.054230026607118335,3.705328168012808
ISL,0.5070869080407596,0.136835578997005,0.07054490921198864,3.705328168012808
ISR,0.5418730713961495,0.1169300809039,0.08189336245083037,3.705328168012808
ITA,0.4466327288169526,0.213666291620479,0.09388859071174686,3.705328168012808
JAM,,0.37282449713511295,0.0425694250499745,3.705328168012808
JOR,0.3074571906498313,0.11704178616359301,0.10326043600983059,3.705328168012808
JPN,0.39776472578710564,0.0950253170182913,0.0713913450791218,3.705328168012808
KAZ,0.5780121690433766,0.2538945746248,0.062387006794532185,3.705328168012808
KEN,0.44736596884887836,0.6524706147265159,0.054561427479011125,3.705328168012808
KGZ,,0.326361669750853,0.055840111971327086,3.705328168012808
KHM,0.39845802690418497,0.563463328275945,0.05140793883431996,3.705328168012808
KIR,,,0.04511878484642958,3.705328168012808
KNA,0.5406603774996118,,0.06367613499735653,3.705328168012808
KOR,0.6334630712474562,0.23183467685124198,0.043371626725957006,3.705328168012808
KWT,0.5654284712191807,0.019520094812689598,0.02553500229199565,3.705328168012808
LAO,0.2957651858356011,0.774701374900218,0.04609281810161963,3.705328168012808
LBN,0.4527055063323186,0.295626515170066,0.11323436092739517,3.705328168012808
LBR,0.5552727099346824,0.790264840152927,0.024319685124255454,3.705328168012808
LBY,-0.08477972862625302,0.150922226755969,0.054230026607118335,3.705328168012808
LCA,0.3196215179470011,0.29168734628153,0.11358775391716935,3.705328168012808
LIE,,,0.02876259143836484,3.705328168012808
LKA,0.6491188080632978,0.41806466176950896,0.037108988831520764,3.705328168012808
LSO,0.3898006118505669,0.385770775891706,0.029394571050432403,3.705328168012808
LTU,0.5810122847651542,0.118625059815295,0.05529676262223857,3.705328168012808
LUX,0.5468673848961874,0.0993276302333699,0.05361588647870254,3.705328168012808
LVA,0.44696772116081374,0.133903184257445,0.09109197438552696,3.705328168012808
MAC,,0.064753521669243,0.07065109876207278,3.705328168012808
MAF,,,0.026864536368021892,3.705328168012808
MAR,0.6023892708011336,0.39949068913289104,0.049071751516723765,3.705328168012808
MCO,,,0.015406522556393916,3.705328168012808
MDA,0.5065459961952212,0.590149834721299,0.07807859827216652,3.705328168012808
MDG,0.4123837544896686,0.889701546595027,0.04333341935873191,3.705328168012808
MDV,0.26283048225338007,0.219017746659775,0.06786409876625223,3.705328168012808
MEX,0.5366601597488427,0.31353913594230504,0.06020853451471967,3.705328168012808
MHL,,,0.03467501647538359,3.705328168012808
MKD,0.2821179470922152,0.159304270103509,0.11116823560458641,3.705328168012808
MLI,0.43496345131338543,0.854329412430454,0.04333341935873191,3.705328168012808
MLT,0.5632516181759645,0.151510478186655,0.06498171482190516,3.705328168012808
MMR,0.5134283965131431,0.64919218975476,0.04768124855947201,3.705328168012808
MNE,0.46284330141439656,0.187310087406685,0.06470276914072502,3.705328168012808
MNG,0.4546548004037943,0.397689458904874,0.042932431072780476,3.705328168012808
MOZ,0.4279326458223847,0.8506112153602661,0.019377585753456633,3.705328168012808
MRT,0.6510666087533109,0.575401313050379,0.04371275734127401,3.705328168012808
MTQ,,,,3.705328168012808
MUS,0.4915369743455509,0.18472384808344,0.04568190704020796,3.705328168012808
MWI,0.3366369675929296,0.6162683457754661,0.055098227545927636,3.705328168012808
MYS,0.5142619727469485,0.276375407385757,0.010348387574992625,3.705328168012808
MYT,,,,3.705328168012808
NAM,0.5238018500333681,0.39130518080585297,0.0373665666691797,3.705328168012808
NCL,,0.16838846538580898,0.06367613499735653,3.705328168012808
NER,0.6448127429932293,0.902672135245963,0.013430885068479387,3.705328168012808
NGA,0.5099198704200679,0.8472765376212721,0.032357058393840614,3.705328168012808
NIC,0.5153436243217151,0.429872216086372,0.04511878484642958,3.705328168012808
NIU,,,,3.705328168012808
NLD,0.5332509326966929,0.165034079958082,0.05653754835610681,3.705328168012808
NOR,0.5892304655773721,0.045686030705137305,0.043874158165330475,3.705328168012808
NPL,0.5082166053181703,0.8016124188899749,0.07133996911835357,3.705328168012808
NZL,0.3832187239116258,0.18857104327622,0.08286455399212131,3.705328168012808
OMN,0.14758413345395963,0.0343445898034306,0.06367613499735653,3.705328168012808
PAK,0.5441254615371324,0.571100379312102,0.03467429736017061,3.705328168012808
PAN,0.5720997159240467,0.38914519253997,0.06367613499735653,3.705328168012808
PER,0.596367915505152,0.526021514684753,0.03122245924575337,3.705328168012808
PHL,0.5959120609505759,0.36745015142239096,0.0460934893994559,3.705328168012808
PLW,,,0.08574319975660447,3.705328168012808
PNG,0.48341157149510033,0.7830201448553591,0.050575304662264786,3.705328168012808
POL,0.5621801683576683,0.199045213380914,0.04961261638349901,3.705328168012808
PRI,,0.171175846617043,0.06911882519180693,3.705328168012808
PRK,,0.8797596514126821,0.05321747281901531,3.705328168012808
PRT,0.44720120922954043,0.14550388774012699,0.08417263532430964,3.705328168012808
PRY,0.5790795703557388,0.41320538964087,0.04987365141985839,3.705328168012808
PSE,,0.238273049305542,0.044560199217906576,3.705328168012808
PYF,,0.174779539768457,0.06367613499735653,3.705328168012808
