DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2014,33720.4,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2015,33594.9,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2016,34034.3,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2017,34511.1,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2018,34995.8,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2019,35200.4,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2020,35353.5,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2021,35393.4,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2022,36207.8,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Austria,2023,36375.1,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Belgium,2014,37309.3,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Belgium,2015,37667.8,,
ESTAT:NAMA_10_A64(1.0),31/01/25 23:00:00,Annual,"Chain linked volumes (2020), million euro",Real estate activities,"Value added, gross",Belgium,2016,38385.6,,
