any,wb_name
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
American Samoa,American Samoa
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,"Bahamas, The"
The Bahamas,"Bahamas, The"
"Bahamas, The","Bahamas, The"
"Bahamas, the","Bahamas, The"
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bolivia (Plurinational State of),Bolivia
BosniaandHerzegovina,Bosnia and Herzegovina
Bosnia and Herzegovina,Bosnia and Herzegovina
Bosnia a.Herzegov.,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,"Virgin Islands, British"
"Virgin Islands, British","Virgin Islands, British"
Brunei Darussalam,Brunei Darussalam
Brunei,Brunei Darussalam
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Cabo Verde,Cape Verde
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Centr. Afr. Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
"Hong Kong, Special Administrative Region of China","Hong Kong SAR, China"
Hong Kong S.A.R.,"Hong Kong SAR, China"
"Hong Kong SAR, China","Hong Kong SAR, China"
Hong Kong,"Hong Kong SAR, China"
Hong Kong (China),"Hong Kong SAR, China"
"China, Hong Kong Special Administrative Region","Hong Kong SAR, China"
"Macao, Special Administrative Region of China","Macao SAR, China"
"Macao SAR, China","Macao SAR, China"
Macau S.A.R,"Macao SAR, China"
Macau,"Macao SAR, China"
Macao,"Macao SAR, China"
"China, Macao Special Administrative Region","Macao SAR, China"
Colombia,Colombia
Comoros,Comoros
Congo (Brazzaville),"Congo, Rep."
Congo,"Congo, Rep."
Republic of the Congo,"Congo, Rep."
"Congo, Rep.","Congo, Rep."
Republic of Congo,"Congo, Rep."
"Congo, Democratic Republic of the","Congo, Dem. Rep."
"Congo, the Democratic Republic of the","Congo, Dem. Rep."
Democratic Republic of the Congo,"Congo, Dem. Rep."
"Congo, Democratic Republic of","Congo, Dem. Rep."
"Congo, Dem. Rep.","Congo, Dem. Rep."
"Congo, Dem Rep of the","Congo, Dem. Rep."
Cook Islands ,Cook Islands
Cook Islands,Cook Islands
Cook islands,Cook Islands
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Ivory Coast,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Dominican Rep.,Dominican Republic
Ecuador,Ecuador
Egypt,"Egypt, Arab Rep."
"Egypt, Arab Rep.","Egypt, Arab Rep."
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Faroe Islands,Faeroe Islands
Faeroe Islands,Faeroe Islands
Fiji,Fiji
Finland,Finland
France,France
French Polynesia,French Polynesia
Gabon,Gabon
Gambia,"Gambia, The"
"Gambia, The","Gambia, The"
