country,iso3,pop_covered_total
Algeria,DZA,60.2
Egypt,EGY,36.6
Libya,LBY,66.1
Morocco,MAR,42.6
Sudan,SDN,10.4
Tunisia,TUN,53.8
Angola,AGO,8.7
Benin,BEN,8.4
Botswana,BWA,13.5
Burkina Faso,BFA,9.7
Burundi,BDI,16.1
Cabo Verde,CPV,51.5
Cameroon,CMR,10
Central African Republic,CAF,3.5
Chad,TCD,2.5
Comoros,COM,3.1
Congo,COG,…
Côte d'Ivoire,CIV,12.1
DR Congo,COD,5.2
Djibouti,DJI,12.3
Equatorial Guinea,GNQ,5.2
Eritrea,ERI,8.4
Eswatini,SWZ,36.1
Ethiopia,ETH,7.4
Gabon,GAB,…
Gambia,GMB,6.5
Ghana,GHA,25.2
Guinea,GIN,3.7
Guinea-Bissau,GNB,2.5
Kenya,KEN,9
Lesotho,LSO,11.7
Liberia,LBR,6.2
Madagascar,MDG,15.4
Malawi,MWI,19.9
Mali,MLI,12.6
Mauritania,MRT,11.2
Mauritius,MUS,74.7
Mozambique,MOZ,6
Namibia,NAM,52.1
Niger,NER,20.6
Nigeria,NGA,14.8
Rwanda,RWA,7.2
Sao Tome and Principe,STP,22.1
Senegal,SEN,19.9
Seychelles,SYC,61.2
Sierra Leone,SLE,4.4
Somalia,SOM,0
South Africa,ZAF,63.4
South Sudan,SSD,0
Tanzania (United Republic of),TZA,11.4
Togo,TGO,38.7
Uganda,UGA,3.1
Zambia,ZMB,30.3
Zimbabwe,ZWE,16.4
Anguilla,AIA,68.9
Antigua and Barbuda,ATG,65.4
Argentina,ARG,65.9
Aruba,ABW,94.3
Bahamas,BHS,49.1
Barbados,BRB,56.7
Belize,BLZ,32
Bolivia (Plurinational State of),BOL,38.4
Brazil,BRA,71.2
British Virgin Islands,VGB,78.3
Cayman Islands,CYM,94.2
Chile,CHL,75.3
Colombia,COL,54.3
Costa Rica,CRI,59.8
Cuba,CUB,63.9
Curaçao,CUW,47.9
Dominica,DMA,53.2
Dominican Republic,DOM,61
Ecuador,ECU,46.8
El Salvador,SLV,18.8
French Guiana,GUF,61.9
Grenada,GRD,54.3
Guadeloupe,GLP,88.2
Guatemala,GTM,12.1
Guyana,GUY,100
Haiti,HTI,6.6
Honduras,HND,30.1
Jamaica,JAM,32.6
Martinique,MTQ,88.2
Mexico,MEX,80.8
Montserrat,MSR,81.2
Nicaragua,NIC,15.3
Panama,PAN,66.1
Paraguay,PRY,36.1
Peru,PER,25.1
Puerto Rico,PRI,58.9
Saint Kitts and Nevis,KNA,90.2
Saint Lucia,LCA,40.1
Saint Vincent and the Grenadines,VCT,52
Sint Maarten (Dutch part),SXM,68.7
St Martin (French part),MAF,68.5
Suriname,SUR,33.6
Trinidad and Tobago,TTO,57.2
Turks and Caicos Islands,TCA,52.1
United States Virgin Islands,VIR,66.7
Uruguay,URY,95
Venezuela (Bolivarian Republic of),VEN,30.8
Bermuda,BMU,80
Canada,CAN,95.6
Saint Pierre and Miquelon,SPM,92.9
United States,USA,78.8
Bahrain,BHR,86.4
Iraq,IRQ,41.7
Jordan,JOR,26.6
Kuwait,KWT,18.2
Lebanon,LBN,20
Occupied Palestinian Territory,PSE,16.5
Oman,OMN,21.8
Qatar,QAT,4.1
Saudi Arabia,SAU,64
Syrian Arab Republic,SYR,…
United Arab Emirates,ARE,4.1
Yemen,YEM,7
China,CHN,75.6
"Hong Kong, China",HKG,63.3
Japan,JPN,94.6
Korea (Democratic People's Republic of),PRK,…
"Macau, China",MAC,75.3
Mongolia,MNG,93.5
Republic of Korea,KOR,80.2
"Taiwan, China",TWN,78.4
Australia,AUS,94
Brunei Darussalam,BRN,36
Cambodia,KHM,20.8
Cook Islands,COK,100
Fiji,FJI,65.6
Indonesia,IDN,54.3
Kiribati,KIR,21
Lao People's Democratic Republic,LAO,15.5
Malaysia,MYS,29.2
Marshall Islands,MHL,25.2
Micronesia (Federated States of),FSM,20
Myanmar,MMR,6.3
Nauru,NRU,65.8
New Caledonia,NCL,72.6
New Zealand,NZL,100
Niue,NIU,48.6
Palau,PLW,93.2
Papua New Guinea,PNG,9.1
Philippines,PHL,34.9
Samoa,WSM,20.2
Singapore,SGP,100
Solomon Islands,SLB,17.2
Thailand,THA,70.1
Timor-Leste,TLS,23.6
Tonga,TON,28.2
