country,iso3,exp_SP_including_health_GDP,exp_health_GDP,exp_SP_GDP
Algeria,DZA,10.92029953,3.269999981,7.650299072
Egypt,EGY,11.23954964,1.74000001,9.499549866
Libya,LBY,5.577095985,2.539999962,3.037096262
Morocco,MAR,9.167867661,2.230000019,6.937867641
Sudan,SDN,0.980528474,0.769999981,0.210528508
Tunisia,TUN,11.61999989,4.130000114,7.489999771
Angola,AGO,3.137511015,1.710000038,1.427510977
Benin,BEN,1.407993793,0.319999993,1.087993741
Botswana,BWA,5.238473892,4.820000172,0.418473512
Burkina Faso,BFA,2.946106434,2.730000019,0.216106459
Burundi,BDI,2.230000019,2.230000019,...
Cabo Verde,CPV,10.75335693,4.710000038,6.043357372
Cameroon,CMR,0.586710691,0.479999989,0.10671068
Central African Republic,CAF,1.261302114,1.25999999,0.001302079
Chad,TCD,1.119668365,0.899999976,0.219668418
Comoros,COM,1.581539989,0.939999998,0.641539991
Congo,COG,3.024438143,1.899999976,1.124438167
Côte d'Ivoire,CIV,1.074450135,1.029999971,0.044450156
DR Congo,COD,0.680372357,0.629999995,0.050372347
Djibouti,DJI,3.072659016,0.970000029,2.102658987
Eswatini,SWZ,9.693080902,3.730000019,5.963080883
Ethiopia,ETH,2.01609993,0.980000019,1.03610003
Gabon,GAB,2.455832243,1.590000033,0.865832269
Gambia,GMB,1.987889409,1.620000005,0.367889374
Ghana,GHA,2.788133621,2.24000001,0.548133612
Guinea,GIN,2.121361017,0.689999998,1.43136096
Guinea-Bissau,GNB,1.324557662,1.139999986,0.184557721
Kenya,KEN,3.630999088,2.220000029,1.41099894
Lesotho,LSO,11.11573601,4.199999809,6.915735722
Liberia,LBR,1.491761923,1.090000033,0.401761919
Madagascar,MDG,2.823809862,0.74000001,2.083809853
Malawi,MWI,2.594898224,1.360000014,1.23489821
Mali,MLI,4.047901154,1.309999943,2.737901449
Mauritania,MRT,3.930741787,1.600000024,2.330741644
Mauritius,MUS,12.58145332,3.140000105,9.44145298
Mozambique,MOZ,3.605354786,2.569999933,1.035354733
Namibia,NAM,9.751605034,4.449999809,5.301605225
Niger,NER,2.437526226,2.119999886,0.317526221
Nigeria,NGA,1.244605541,0.540000021,0.70460546
Rwanda,RWA,4.333735466,2.99000001,1.343735576
Sao Tome and Principe,STP,4.819257259,3.349999905,1.469257474
Senegal,SEN,3.283352852,1.120000005,2.163352966
Seychelles,SYC,12.25082779,4.019999981,8.230827332
Sierra Leone,SLE,2.56571269,1.940000057,0.625712574
Somalia,SOM,0.11133825,...,0.11133825
South Africa,ZAF,10.44896412,5,5.448964119
Tanzania (United Republic of),TZA,3.388950586,0.910000026,2.4789505
Togo,TGO,2.883157253,0.550000012,2.333157301
Uganda,UGA,1.345494986,1.049999952,0.295495063
Zambia,ZMB,5.753571033,2.819999933,2.9335711
Zimbabwe,ZWE,4.139209747,0.910000026,3.229209661
Antigua and Barbuda,ATG,6.78790617,3.930000067,2.857906103
Argentina,ARG,16.97686577,6.139999866,10.83686543
Bahamas,BHS,6.641563416,3.980000019,2.661563158
Barbados,BRB,8.649147987,4.380000114,4.269147873
Belize,BLZ,7.699148178,3.430000067,4.269147873
Bolivia (Plurinational State of),BOL,10.92176056,5.880000114,5.041759968
Brazil,BRA,21.53167343,4.5,17.03167343
Chile,CHL,12.47764397,5.199999809,7.277644157
Colombia,COL,14.6769886,6.550000191,8.126988411
Costa Rica,CRI,12.39321136,5.300000191,7.093211174
Cuba,CUB,21.63756371,12.63000011,9.007563591
Dominica,DMA,8.627752304,4.170000076,4.457751751
Dominican Republic,DOM,5.473155499,3.289999962,2.183155537
Ecuador,ECU,12.54464436,5.28000021,7.264644146
El Salvador,SLV,13.74176979,6.400000095,7.341769695
Grenada,GRD,6.811887741,2.220000029,4.591887951
Guatemala,GTM,4.953453064,2.329999924,2.62345314
Guyana,GUY,5.827754021,3.339999914,2.487753868
Haiti,HTI,1.559999943,0.430000007,1.129999995
Honduras,HND,4.972523689,3.440000057,1.53252387
Jamaica,JAM,6.232032776,5.119999886,1.11203301
Mexico,MEX,10.96666908,3.049999952,7.916669369
Nicaragua,NIC,6.96171999,6.139999866,0.821720004
Panama,PAN,8.442965508,5.380000114,3.062965393
Paraguay,PRY,11.22347069,4.46999979,6.753470898
Peru,PER,7.138002396,3.99000001,3.148002625
Puerto Rico,PRI,10.03578377,...,10.03578377
Saint Kitts and Nevis,KNA,6.873138905,3.539999962,3.333138943
Saint Lucia,LCA,6.767765045,2.630000114,4.137764931
Saint Vincent and the Grenadines,VCT,8.0682621,3.630000114,4.438261986
Suriname,SUR,8.304004669,3.329999924,4.974005222
Trinidad and Tobago,TTO,12.69265747,3.319999933,9.372657776
Uruguay,URY,21.50992393,6.929999828,14.57992458
Venezuela (Bolivarian Republic of),VEN,10.03000069,1.350000024,8.680000305
Canada,CAN,21.00984573,8.989999771,12.01984501
United States,USA,26.44341278,9.619999886,16.82341194
Bahrain,BHR,8.844977226,2.809999943,6.034977283
Iraq,IRQ,9.489999914,2.589999914,6.9
Jordan,JOR,13.27198792,2.589999914,10.68198776
Kuwait,KWT,13.65468628,5.190000057,8.464686223
Lebanon,LBN,4.797435651,2.900000095,1.897435556
Occupied Palestinian Territory,PSE,3.854173737,...,3.854173737
Oman,OMN,6.109999943,3.809999943,2.3
Qatar,QAT,3.435667753,2.460000038,1.1
Saudi Arabia,SAU,9.901947021,4.590000153,5.311946869
Syrian Arab Republic,SYR,1.379999995,1.379999995,...
United Arab Emirates,ARE,5.636268139,3.400000095,2.236268044
Yemen,YEM,1.100697638,0.430000007,0.670697631
China,CHN,10.83355713,2.910000086,7.923556805
"Hong Kong, China",HKG,3.922949791,...,3.922949791
Japan,JPN,26.31477165,9.170000076,17.14477158
"Macau, China",MAC,26.15041161,...,26.15041161
Mongolia,MNG,19.95806122,4.53000021,15.42806053
Republic of Korea,KOR,13.42773724,5.690000057,7.737737179
"Taiwan, China",TWN,11.03516102,...,11.03516102
Australia,AUS,18.11169815,8.020000458,10.09169769
Brunei Darussalam,BRN,2.659999847,2.059999943,0.600000024
Cambodia,KHM,3.099999905,2,1.100000024
Cook Islands,COK,8.446742058,3.660000086,4.786741734
Fiji,FJI,9.51241684,3.359999895,6.152416706
Indonesia,IDN,3.659356356,2.200000048,1.459356308
Kiribati,KIR,29.94010544,11.11999989,18.82010651
Lao People's Democratic Republic,LAO,1.379540443,0.720000029,0.659540474
Malaysia,MYS,2.460000038,2.460000038,...
Marshall Islands,MHL,6.769909859,5.320000172,1.449909806
Micronesia (Federated States of),FSM,2.289573669,1.889999986,0.399573803
Myanmar,MMR,1.987318277,1.059999943,0.927318335
Nauru,NRU,16.78436279,11.34000015,5.44436264
New Zealand,NZL,18.64817429,7.739999771,10.90817356
Palau,PLW,7.645426273,7.400000095,0.245426327
Papua New Guinea,PNG,1.308027267,1.159999967,0.148027256
Philippines,PHL,4.965330124,2.309999943,2.655330181
Samoa,WSM,6.959039688,5.119999886,1.839039683
Singapore,SGP,4.512736797,3.50999999,1.002736807
Solomon Islands,SLB,3.77411437,3.329999924,0.444114536
Thailand,THA,8.524485588,3.630000114,4.894485474
Timor-Leste,TLS,17.11187608,7.260000229,9.851875851
Tonga,TON,6.23203373,3.619999886,2.612033844
Vanuatu,VUT,2.273863077,1.210000038,1.063863039
Viet Nam,VNM,7.022410393,1.960000038,5.062410355
Afghanistan,AFG,2.564513683,0.720000029,1.844513535
Bangladesh,BGD,1.312739968,0.400000006,0.912739992
Bhutan,BTN,5.510000229,2.210000038,3.299999952
India,IND,5.077910423,1.120000005,3.957910538
Iran (Islamic Republic of),IRN,12.03383636,3.190000057,8.843836784
Maldives,MDV,12.36724186,7.179999828,5.187242031
Nepal,NPL,3.98843503,1.799999952,2.188435078
Pakistan,PAK,1.990064621,0.839999974,1.150064707
Sri Lanka,LKA,4.679711342,1.889999986,2.789711475
Armenia,ARM,8.686155319,2.190000057,6.496155262
Azerbaijan,AZE,10.16485023,1.49000001,8.674850464
Cyprus,CYP,20.52554512,7.989999771,12.53554535
Georgia,GEO,11.3364315,4.489999771,6.846432209
Israel,ISR,16.06368256,5.389999866,10.67368317
Kazakhstan,KAZ,6.021002293,2.559999943,3.461002295
Kyrgyzstan,KGZ,11.60331249,2.910000086,8.693312645
Tajikistan,TJK,6.032677174,1.940000057,4.092677116
Türkiye,TUR,10.45039272,3.599999905,6.850392818
Uzbekistan,UZB,9.373539925,3.029999971,6.343540192
Belarus,BLR,17.9866333,4.869999886,13.11663437
Bulgaria,BGR,18.74310493,5.380000114,13.36310482
Czechia,CZE,21.8164978,8.180000305,13.63649654
Hungary,HUN,18.41973114,5.329999924,13.08973026
Poland,POL,21.92740631,4.639999866,17.28740692
Republic of Moldova,MDA,19.34576416,5.059999943,14.28576469
Romania,ROU,18.25623131,4.900000095,13.35623074
Russian Federation,RUS,19.36331177,5.260000229,14.10331059
Slovakia,SVK,22.09416771,6.179999828,15.91416836
Ukraine,UKR,21.46904182,4.090000153,17.37904167
Albania,ALB,12.44294739,2.880000114,9.562947273
Andorra,AND,9.454371452,6.170000076,3.284371376
Austria,AUT,30.09401703,9.470000267,20.62401772
Belgium,BEL,29.58292961,8.569999695,21.01292992
Bosnia and Herzegovina,BIH,19.17273903,6.53000021,12.64273834
Croatia,HRV,20.87405014,6.809999943,14.06404972
Denmark,DNK,28.1178093,9.220000267,18.89780807
Estonia,EST,19.30685616,5.710000038,13.59685612
Finland,FIN,33.10910797,8.409999847,24.69910812
France,FRA,34.07270813,9.31000042,24.76270866
Germany,DEU,30.26712799,10.22000027,20.04712677
Greece,GRC,26.04428482,5.429999828,20.61428452
Iceland,ISL,19.33005905,8.140000343,11.19005775
Ireland,IRL,13.77259827,5.199999809,8.572598457
Italy,ITA,30.38153839,7.079999924,23.30153847
Latvia,LVA,20.06772804,6.269999981,13.79772758
Lithuania,LTU,19.59946442,5.260000229,14.33946323
Luxembourg,LUX,24.06059647,4.929999828,19.13059616
North Macedonia,MKD,13.76920319,4.639999866,9.129202843
Malta,MLT,17.90228653,7.130000114,10.77228546
Montenegro,MNE,25.47609711,6.460000038,19.01609802
Netherlands,NLD,23.41723442,7.880000114,15.53723431
Norway,NOR,23.14651489,8.489999771,14.65651417
Portugal,PRT,25.28774834,7.03000021,18.25774765
San Marino,SMR,24.0267849,7.03000021,16.99678421
Serbia,SRB,19.73946762,6.260000229,13.47946835
Slovenia,SVN,24.79523468,6.940000057,17.85523415
Spain,ESP,26.47166443,7.690000057,18.78166389
Sweden,SWE,28.19345856,9.659999847,18.53345871
Switzerland,CHE,16.74257088,4.269999981,12.47257042
United Kingdom,GBR,26.45829964,10.35000038,16.10829926
